N,method,k,mean_acc,n,benefit_vs_scratch
0,mae,0,5.14,15,-0.01
0,mae,1,63.56,15,1.35
0,mae,3,73.52,15,4.39
0,scratch,0,5.15,15,0.0
0,scratch,1,62.21,15,0.0
0,scratch,3,69.13,15,0.0
0,supLP120,0,4.74,15,-0.41
0,supLP120,1,69.56,15,7.35
0,supLP120,3,87.35,15,18.22
0,supMAE,0,4.19,15,-0.96
0,supMAE,1,65.36,15,3.15
0,supMAE,3,77.7,15,8.58
0,supcon,0,3.16,15,-1.98
0,supcon,1,71.01,15,8.8
0,supcon,3,88.32,15,19.2
1,mae,0,25.77,15,-0.78
1,mae,1,54.43,15,-0.42
1,mae,3,62.93,15,3.52
1,scratch,0,26.55,15,0.0
1,scratch,1,54.86,15,0.0
1,scratch,3,59.41,15,0.0
1,supLP120,0,31.34,15,4.79
1,supLP120,1,73.05,15,18.2
1,supLP120,3,87.66,15,28.25
1,supMAE,0,25.7,15,-0.85
1,supMAE,1,60.05,15,5.2
1,supMAE,3,68.33,15,8.92
1,supcon,0,30.6,15,4.06
1,supcon,1,73.65,15,18.79
1,supcon,3,87.9,15,28.48
2,mae,0,41.59,15,-3.53
2,mae,1,70.45,15,-1.74
2,mae,3,79.15,15,-1.84
2,scratch,0,45.11,15,0.0
2,scratch,1,72.19,15,0.0
2,scratch,3,80.99,15,0.0
2,supLP120,0,47.05,15,1.93
2,supLP120,1,77.21,15,5.02
2,supLP120,3,88.56,15,7.57
2,supMAE,0,43.13,15,-1.98
2,supMAE,1,74.44,15,2.25
2,supMAE,3,82.95,15,1.95
2,supcon,0,50.57,15,5.46
2,supcon,1,78.31,15,6.12
2,supcon,3,90.02,15,9.03
3,mae,0,48.87,15,-4.42
3,mae,1,75.3,15,-2.94
3,mae,3,86.95,15,-0.89
3,scratch,0,53.29,15,0.0
3,scratch,1,78.25,15,0.0
3,scratch,3,87.84,15,0.0
3,supLP120,0,54.8,15,1.51
3,supLP120,1,79.38,15,1.14
3,supLP120,3,90.49,15,2.66
3,supMAE,0,51.35,15,-1.94
3,supMAE,1,77.91,15,-0.34
3,supMAE,3,88.68,15,0.84
3,supcon,0,57.22,15,3.93
3,supcon,1,80.55,15,2.31
3,supcon,3,91.0,15,3.17
4,mae,0,53.75,15,-3.39
4,mae,1,79.16,15,-3.15
4,mae,3,87.94,15,-1.45
4,scratch,0,57.15,15,0.0
4,scratch,1,82.31,15,0.0
4,scratch,3,89.39,15,0.0
4,supLP120,0,57.67,15,0.52
4,supLP120,1,81.5,15,-0.81
4,supLP120,3,91.25,15,1.86
4,supMAE,0,56.8,15,-0.35
4,supMAE,1,82.57,15,0.26
4,supMAE,3,91.5,15,2.11
4,supcon,0,59.04,15,1.9
4,supcon,1,82.62,15,0.31
4,supcon,3,91.01,15,1.62
