N,method,k,mean_diff,paired_t_p,n_pairs
0,supLP120,0,-0.41,0.7352203552296331,15
0,supLP120,1,7.35,7.260371708082696e-05,15
0,supLP120,3,18.22,1.9033950978289838e-07,15
0,supMAE,0,-0.96,0.4326326207691063,15
0,supMAE,1,3.15,0.00019336808819805655,15
0,supMAE,3,8.58,2.1967196812442024e-05,15
0,mae,0,-0.01,0.9948202342061137,15
0,mae,1,1.35,0.10762354532383543,15
0,mae,3,4.39,0.005637194929077373,15
1,supLP120,0,4.79,0.0076887444460655,15
1,supLP120,1,18.2,5.793132572205919e-06,15
1,supLP120,3,28.25,1.7504053418046284e-06,15
1,supMAE,0,-0.85,0.2848207468911758,15
1,supMAE,1,5.2,0.008045094655871846,15
1,supMAE,3,8.92,9.75578530722237e-05,15
1,mae,0,-0.78,0.2601527057350999,15
1,mae,1,-0.42,0.7201931881960625,15
1,mae,3,3.52,0.04821830569801813,15
2,supLP120,0,1.93,0.08536782338189852,15
2,supLP120,1,5.02,0.05338413048805678,15
2,supLP120,3,7.57,0.013392385965872392,15
2,supMAE,0,-1.98,0.04507361761298998,15
2,supMAE,1,2.25,0.05229569031680818,15
2,supMAE,3,1.95,0.17927431267974084,15
2,mae,0,-3.53,0.0065366192701482445,15
2,mae,1,-1.74,0.1994026994523802,15
2,mae,3,-1.84,0.10867243446397011,15
3,supLP120,0,1.51,0.2803505551570767,15
3,supLP120,1,1.14,0.3184424346701257,15
3,supLP120,3,2.66,0.014715188249592857,15
3,supMAE,0,-1.94,0.010579055601020104,15
3,supMAE,1,-0.34,0.6803584634877498,15
3,supMAE,3,0.84,0.2044922548847023,15
3,mae,0,-4.42,0.0003656048308497443,15
3,mae,1,-2.94,0.020822492964395825,15
3,mae,3,-0.89,0.28600096188579804,15
4,supLP120,0,0.52,0.7465502074573631,15
4,supLP120,1,-0.81,0.4627324338392986,15
4,supLP120,3,1.86,0.08290950875777116,15
4,supMAE,0,-0.35,0.7902812990375768,15
4,supMAE,1,0.26,0.7486340412458528,15
4,supMAE,3,2.11,0.002552722211527982,15
4,mae,0,-3.39,0.05764103218712845,15
4,mae,1,-3.15,0.003407840747477792,15
4,mae,3,-1.45,0.10642998769142861,15
