test_subject,method,init,train_samples,val_samples,best_epoch,best_val_acc,final_val_acc,final_val_macro_f1,base_ckpt,pretrained_ckpt,note
sub10,scratch,scratch,861,218,16,100.000000,100.000000,1.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling-seed43/N2/models/sub10_scratch_baseFull_bestVal.pth,,"random init, then base-trained on 4 subjects"
sub10,supLP120,pretrained,861,218,15,99.541284,99.082569,0.990096,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling-seed43/N2/models/sub10_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,source supervised NTU-120
sub10,supMAE,pretrained,861,218,11,98.623853,98.623853,0.984536,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling-seed43/N2/models/sub10_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,hybrid supervised + MAE checkpoint used by active LOSO scripts
sub10,mae,pretrained,861,218,16,98.165138,97.247706,0.970787,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling-seed43/N2/models/sub10_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,source MAE geodesic
sub10,supcon,pretrained,861,218,6,99.541284,97.706422,0.976589,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling-seed43/N2/models/sub10_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"source supervised contrastive (SupCon), NTU-120"
sub11,scratch,scratch,837,209,22,100.000000,100.000000,1.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling-seed43/N2/models/sub11_scratch_baseFull_bestVal.pth,,"random init, then base-trained on 4 subjects"
sub11,supLP120,pretrained,837,209,8,99.521531,99.521531,0.994296,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling-seed43/N2/models/sub11_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,source supervised NTU-120
sub11,supMAE,pretrained,837,209,11,99.521531,91.866029,0.897273,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling-seed43/N2/models/sub11_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,hybrid supervised + MAE checkpoint used by active LOSO scripts
sub11,mae,pretrained,837,209,13,99.521531,99.043062,0.990149,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling-seed43/N2/models/sub11_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,source MAE geodesic
sub11,supcon,pretrained,837,209,6,99.521531,99.521531,0.994296,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling-seed43/N2/models/sub11_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"source supervised contrastive (SupCon), NTU-120"
sub7,scratch,scratch,827,206,20,100.000000,100.000000,1.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling-seed43/N2/models/sub7_scratch_baseFull_bestVal.pth,,"random init, then base-trained on 4 subjects"
sub7,supLP120,pretrained,827,206,11,98.543689,98.543689,0.983807,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling-seed43/N2/models/sub7_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,source supervised NTU-120
sub7,supMAE,pretrained,827,206,12,100.000000,100.000000,1.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling-seed43/N2/models/sub7_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,hybrid supervised + MAE checkpoint used by active LOSO scripts
sub7,mae,pretrained,827,206,22,99.514563,99.029126,0.991270,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling-seed43/N2/models/sub7_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,source MAE geodesic
sub7,supcon,pretrained,827,206,32,98.058252,97.572816,0.978193,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling-seed43/N2/models/sub7_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"source supervised contrastive (SupCon), NTU-120"
sub8,scratch,scratch,827,206,30,99.514563,98.058252,0.979025,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling-seed43/N2/models/sub8_scratch_baseFull_bestVal.pth,,"random init, then base-trained on 4 subjects"
sub8,supLP120,pretrained,827,206,8,99.029126,99.029126,0.990437,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling-seed43/N2/models/sub8_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,source supervised NTU-120
sub8,supMAE,pretrained,827,206,20,99.514563,98.543689,0.982856,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling-seed43/N2/models/sub8_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,hybrid supervised + MAE checkpoint used by active LOSO scripts
sub8,mae,pretrained,827,206,52,100.000000,98.058252,0.977447,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling-seed43/N2/models/sub8_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,source MAE geodesic
sub8,supcon,pretrained,827,206,16,99.029126,98.058252,0.979592,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling-seed43/N2/models/sub8_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"source supervised contrastive (SupCon), NTU-120"
sub9,scratch,scratch,827,206,39,99.029126,99.029126,0.988592,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling-seed43/N2/models/sub9_scratch_baseFull_bestVal.pth,,"random init, then base-trained on 4 subjects"
sub9,supLP120,pretrained,827,206,8,99.029126,98.543689,0.982098,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling-seed43/N2/models/sub9_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,source supervised NTU-120
sub9,supMAE,pretrained,827,206,17,99.514563,99.514563,0.994934,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling-seed43/N2/models/sub9_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,hybrid supervised + MAE checkpoint used by active LOSO scripts
sub9,mae,pretrained,827,206,14,99.029126,99.029126,0.988873,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling-seed43/N2/models/sub9_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,source MAE geodesic
sub9,supcon,pretrained,827,206,7,100.000000,99.029126,0.989615,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling-seed43/N2/models/sub9_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"source supervised contrastive (SupCon), NTU-120"
