test_subject,method,init,train_samples,val_samples,best_epoch,best_val_acc,final_val_acc,final_val_macro_f1,base_ckpt,pretrained_ckpt,note
sub10,scratch,scratch,0,0,0,0.000000,0.000000,0.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N0/models/sub10_scratch_baseFull_bestVal.pth,,"random init, then base-trained on 4 subjects | N=0 no finetune"
sub10,supLP120,pretrained,0,0,0,0.000000,0.000000,0.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N0/models/sub10_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,source supervised NTU-120 | N=0 no finetune
sub10,supMAE,pretrained,0,0,0,0.000000,0.000000,0.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N0/models/sub10_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,hybrid supervised + MAE checkpoint used by active LOSO scripts | N=0 no finetune
sub10,mae,pretrained,0,0,0,0.000000,0.000000,0.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N0/models/sub10_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,source MAE geodesic | N=0 no finetune
sub10,supcon,pretrained,0,0,0,0.000000,0.000000,0.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N0/models/sub10_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"source supervised contrastive (SupCon), NTU-120 | N=0 no finetune"
sub11,scratch,scratch,0,0,0,0.000000,0.000000,0.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N0/models/sub11_scratch_baseFull_bestVal.pth,,"random init, then base-trained on 4 subjects | N=0 no finetune"
sub11,supLP120,pretrained,0,0,0,0.000000,0.000000,0.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N0/models/sub11_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,source supervised NTU-120 | N=0 no finetune
sub11,supMAE,pretrained,0,0,0,0.000000,0.000000,0.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N0/models/sub11_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,hybrid supervised + MAE checkpoint used by active LOSO scripts | N=0 no finetune
sub11,mae,pretrained,0,0,0,0.000000,0.000000,0.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N0/models/sub11_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,source MAE geodesic | N=0 no finetune
sub11,supcon,pretrained,0,0,0,0.000000,0.000000,0.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N0/models/sub11_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"source supervised contrastive (SupCon), NTU-120 | N=0 no finetune"
sub7,scratch,scratch,0,0,0,0.000000,0.000000,0.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N0/models/sub7_scratch_baseFull_bestVal.pth,,"random init, then base-trained on 4 subjects | N=0 no finetune"
sub7,supLP120,pretrained,0,0,0,0.000000,0.000000,0.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N0/models/sub7_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,source supervised NTU-120 | N=0 no finetune
sub7,supMAE,pretrained,0,0,0,0.000000,0.000000,0.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N0/models/sub7_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,hybrid supervised + MAE checkpoint used by active LOSO scripts | N=0 no finetune
sub7,mae,pretrained,0,0,0,0.000000,0.000000,0.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N0/models/sub7_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,source MAE geodesic | N=0 no finetune
sub7,supcon,pretrained,0,0,0,0.000000,0.000000,0.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N0/models/sub7_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"source supervised contrastive (SupCon), NTU-120 | N=0 no finetune"
sub8,scratch,scratch,0,0,0,0.000000,0.000000,0.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N0/models/sub8_scratch_baseFull_bestVal.pth,,"random init, then base-trained on 4 subjects | N=0 no finetune"
sub8,supLP120,pretrained,0,0,0,0.000000,0.000000,0.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N0/models/sub8_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,source supervised NTU-120 | N=0 no finetune
sub8,supMAE,pretrained,0,0,0,0.000000,0.000000,0.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N0/models/sub8_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,hybrid supervised + MAE checkpoint used by active LOSO scripts | N=0 no finetune
sub8,mae,pretrained,0,0,0,0.000000,0.000000,0.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N0/models/sub8_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,source MAE geodesic | N=0 no finetune
sub8,supcon,pretrained,0,0,0,0.000000,0.000000,0.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N0/models/sub8_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"source supervised contrastive (SupCon), NTU-120 | N=0 no finetune"
sub9,scratch,scratch,0,0,0,0.000000,0.000000,0.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N0/models/sub9_scratch_baseFull_bestVal.pth,,"random init, then base-trained on 4 subjects | N=0 no finetune"
sub9,supLP120,pretrained,0,0,0,0.000000,0.000000,0.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N0/models/sub9_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,source supervised NTU-120 | N=0 no finetune
sub9,supMAE,pretrained,0,0,0,0.000000,0.000000,0.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N0/models/sub9_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,hybrid supervised + MAE checkpoint used by active LOSO scripts | N=0 no finetune
sub9,mae,pretrained,0,0,0,0.000000,0.000000,0.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N0/models/sub9_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,source MAE geodesic | N=0 no finetune
sub9,supcon,pretrained,0,0,0,0.000000,0.000000,0.000000,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N0/models/sub9_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"source supervised contrastive (SupCon), NTU-120 | N=0 no finetune"
