test_subject,method,init,train_samples,val_samples,best_epoch,best_val_acc,final_val_acc,final_val_macro_f1,base_ckpt,pretrained_ckpt,note
sub10,scratch,scratch,1300,322,55,100.000000,98.757764,0.987799,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N3/models/sub10_scratch_baseFull_bestVal.pth,,"random init, then base-trained on 4 subjects"
sub10,supLP120,pretrained,1300,322,20,98.757764,98.757764,0.987779,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N3/models/sub10_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,source supervised NTU-120
sub10,supMAE,pretrained,1300,322,24,99.689441,99.378882,0.994777,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N3/models/sub10_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,hybrid supervised + MAE checkpoint used by active LOSO scripts
sub10,mae,pretrained,1300,322,38,99.689441,98.447205,0.984720,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N3/models/sub10_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,source MAE geodesic
sub10,supcon,pretrained,1300,322,21,99.378882,98.757764,0.987217,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N3/models/sub10_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"source supervised contrastive (SupCon), NTU-120"
sub11,scratch,scratch,1271,318,12,99.685535,99.371069,0.992839,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N3/models/sub11_scratch_baseFull_bestVal.pth,,"random init, then base-trained on 4 subjects"
sub11,supLP120,pretrained,1271,318,6,100.000000,99.685535,0.996966,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N3/models/sub11_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,source supervised NTU-120
sub11,supMAE,pretrained,1271,318,13,99.371069,99.056604,0.990118,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N3/models/sub11_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,hybrid supervised + MAE checkpoint used by active LOSO scripts
sub11,mae,pretrained,1271,318,7,99.371069,97.169811,0.971380,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N3/models/sub11_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,source MAE geodesic
sub11,supcon,pretrained,1271,318,5,100.000000,99.056604,0.989786,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N3/models/sub11_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"source supervised contrastive (SupCon), NTU-120"
sub7,scratch,scratch,1259,317,24,99.684543,99.684543,0.996017,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N3/models/sub7_scratch_baseFull_bestVal.pth,,"random init, then base-trained on 4 subjects"
