test_subject,method,k,calibration_mode,calib_samples,eval_samples,final_acc,final_macro_f1,best_diag_acc,best_diag_macro_f1,best_diag_epoch,base_ckpt,pretrained_ckpt,calibration_ckpt
sub10,scratch,0,none,0,500,54.400000,0.466559,54.400000,0.466559,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N3/models/sub10_scratch_baseFull_bestVal.pth,,
sub10,scratch,1,head_only,22,478,78.451883,0.750899,78.451883,0.750899,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N3/models/sub10_scratch_baseFull_bestVal.pth,,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N3/models/sub10_scratch_k1_head_only_last.pth
sub10,scratch,3,head_only,66,434,90.783410,0.895769,90.783410,0.895769,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N3/models/sub10_scratch_baseFull_bestVal.pth,,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N3/models/sub10_scratch_k3_head_only_last.pth
sub10,supLP120,0,none,0,500,62.400000,0.534673,62.400000,0.534673,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N3/models/sub10_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,
sub10,supLP120,1,head_only,22,478,77.196653,0.749607,77.196653,0.749607,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N3/models/sub10_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N3/models/sub10_supLP120_k1_head_only_last.pth
sub10,supLP120,3,head_only,66,434,94.009217,0.930286,94.009217,0.927595,21,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N3/models/sub10_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N3/models/sub10_supLP120_k3_head_only_last.pth
sub10,supMAE,0,none,0,500,53.400000,0.437265,53.400000,0.437265,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N3/models/sub10_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,
sub10,supMAE,1,head_only,22,478,78.870293,0.765285,78.870293,0.765285,29,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N3/models/sub10_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N3/models/sub10_supMAE_k1_head_only_last.pth
sub10,supMAE,3,head_only,66,434,92.857143,0.911917,92.857143,0.911917,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N3/models/sub10_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N3/models/sub10_supMAE_k3_head_only_last.pth
sub10,mae,0,none,0,500,53.600000,0.471031,53.600000,0.471031,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N3/models/sub10_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,
sub10,mae,1,head_only,22,478,76.150628,0.726671,76.150628,0.726671,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N3/models/sub10_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/A2-subjectScaling/N3/models/sub10_mae_k1_head_only_last.pth
