test_subject,mode,prior,k,eval_samples,final_acc
cx,dual,supLP120,0,286,5.245
cx,dual,supLP120,1,264,41.667
cx,dual,supLP120,3,220,49.545
cyy,dual,supLP120,0,220,5.909
cyy,dual,supLP120,1,198,36.364
cyy,dual,supLP120,3,154,56.494
myj,dual,supLP120,0,220,3.636
myj,dual,supLP120,1,198,26.263
myj,dual,supLP120,3,154,55.844
qyh,dual,supLP120,0,241,4.149
qyh,dual,supLP120,1,219,31.05
qyh,dual,supLP120,3,175,46.857
zyh,dual,supLP120,0,198,6.061
zyh,dual,supLP120,1,176,36.932
zyh,dual,supLP120,3,132,62.121
