test_subject,mode,prior,k,eval_samples,final_acc
cx,dual,supLP120,0,286,80.769
cx,dual,supLP120,1,264,83.712
cx,dual,supLP120,3,220,87.273
cyy,dual,supLP120,0,220,85.909
cyy,dual,supLP120,1,198,82.828
cyy,dual,supLP120,3,154,88.312
myj,dual,supLP120,0,220,68.182
myj,dual,supLP120,1,198,76.768
myj,dual,supLP120,3,154,82.468
qyh,dual,supLP120,0,241,78.008
qyh,dual,supLP120,1,219,84.018
qyh,dual,supLP120,3,175,82.857
zyh,dual,supLP120,0,198,85.859
zyh,dual,supLP120,1,176,89.773
zyh,dual,supLP120,3,132,90.152
