test_subject,mode,prior,k,eval_samples,final_acc
cx,dual,supLP120,0,286,79.72
cx,dual,supLP120,1,264,78.409
cx,dual,supLP120,3,220,83.636
cyy,dual,supLP120,0,220,73.636
cyy,dual,supLP120,1,198,79.293
cyy,dual,supLP120,3,154,85.065
myj,dual,supLP120,0,220,81.364
myj,dual,supLP120,1,198,85.354
myj,dual,supLP120,3,154,88.312
qyh,dual,supLP120,0,241,76.763
qyh,dual,supLP120,1,219,83.562
qyh,dual,supLP120,3,175,89.143
zyh,dual,supLP120,0,198,82.828
zyh,dual,supLP120,1,176,78.409
zyh,dual,supLP120,3,132,86.364
