test_subject,mode,prior,k,eval_samples,final_acc
cx,quat,supLP120,0,286,47.902
cx,quat,supLP120,1,264,46.212
cx,quat,supLP120,3,220,52.273
cyy,quat,supLP120,0,220,55.909
cyy,quat,supLP120,1,198,62.121
cyy,quat,supLP120,3,154,61.039
myj,quat,supLP120,0,220,50.0
myj,quat,supLP120,1,198,50.0
myj,quat,supLP120,3,154,51.948
qyh,quat,supLP120,0,241,53.942
qyh,quat,supLP120,1,219,52.968
qyh,quat,supLP120,3,175,60.0
zyh,quat,supLP120,0,198,70.707
zyh,quat,supLP120,1,176,64.205
zyh,quat,supLP120,3,132,60.606
