test_subject,mode,prior,k,eval_samples,final_acc
cx,dual,supLP120,0,286,86.014
cx,dual,supLP120,1,264,85.227
cx,dual,supLP120,3,220,90.909
cyy,dual,supLP120,0,220,90.455
cyy,dual,supLP120,1,198,82.828
cyy,dual,supLP120,3,154,90.909
myj,dual,supLP120,0,220,67.727
myj,dual,supLP120,1,198,73.737
myj,dual,supLP120,3,154,82.468
qyh,dual,supLP120,0,241,86.722
qyh,dual,supLP120,1,219,91.781
qyh,dual,supLP120,3,175,88.0
zyh,dual,supLP120,0,198,95.96
zyh,dual,supLP120,1,176,94.318
zyh,dual,supLP120,3,132,97.727
