test_subject,method,init,train_samples,val_samples,best_epoch,best_val_acc,final_val_acc,final_val_macro_f1,base_ckpt,pretrained_ckpt,note
cx,scratch,scratch,703,176,73,64.204545,62.500000,0.628069,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-IMU-LOSO-seed44/models/cx_scratch_baseFull_bestVal.pth,,"random init, then base-trained on 4 subjects"
cx,supLP120,pretrained,703,176,43,71.022727,70.454545,0.699597,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-IMU-LOSO-seed44/models/cx_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,source supervised NTU-120
cx,supMAE,pretrained,703,176,80,67.613636,67.613636,0.673438,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-IMU-LOSO-seed44/models/cx_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,hybrid supervised + MAE checkpoint used by active LOSO scripts
cx,mae,pretrained,703,176,72,72.727273,72.727273,0.728428,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-IMU-LOSO-seed44/models/cx_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,source MAE geodesic
cx,supcon,pretrained,703,176,49,63.636364,62.500000,0.617145,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-IMU-LOSO-seed44/models/cx_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"source supervised contrastive (SupCon), NTU-120"
cyy,scratch,scratch,748,197,62,63.959391,62.944162,0.617527,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-IMU-LOSO-seed44/models/cyy_scratch_baseFull_bestVal.pth,,"random init, then base-trained on 4 subjects"
cyy,supLP120,pretrained,748,197,53,71.065990,70.050761,0.698191,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-IMU-LOSO-seed44/models/cyy_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,source supervised NTU-120
cyy,supMAE,pretrained,748,197,70,68.020305,67.512690,0.671167,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-IMU-LOSO-seed44/models/cyy_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,hybrid supervised + MAE checkpoint used by active LOSO scripts
cyy,mae,pretrained,748,197,45,69.035533,69.035533,0.684738,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-IMU-LOSO-seed44/models/cyy_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,source MAE geodesic
cyy,supcon,pretrained,748,197,76,68.527919,68.527919,0.677851,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-IMU-LOSO-seed44/models/cyy_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"source supervised contrastive (SupCon), NTU-120"
