test_subject,method,k,calibration_mode,calib_samples,eval_samples,final_acc,final_macro_f1,best_diag_acc,best_diag_macro_f1,best_diag_epoch,base_ckpt,pretrained_ckpt,calibration_ckpt
cx,scratch,0,none,0,286,47.202797,0.468111,47.202797,0.468111,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-IMU-LOSO/models/cx_scratch_baseFull_bestVal.pth,,
cx,scratch,1,head_only,22,264,43.560606,0.419656,47.348485,0.467665,6,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-IMU-LOSO/models/cx_scratch_baseFull_bestVal.pth,,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-IMU-LOSO/models/cx_scratch_k1_head_only_last.pth
cx,scratch,3,head_only,66,220,49.090909,0.480008,53.181818,0.519505,19,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-IMU-LOSO/models/cx_scratch_baseFull_bestVal.pth,,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-IMU-LOSO/models/cx_scratch_k3_head_only_last.pth
cx,supLP120,0,none,0,286,50.000000,0.492870,50.000000,0.492870,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-IMU-LOSO/models/cx_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,
cx,supLP120,1,head_only,22,264,45.454545,0.444682,48.484848,0.480649,1,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-IMU-LOSO/models/cx_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-IMU-LOSO/models/cx_supLP120_k1_head_only_last.pth
cx,supLP120,3,head_only,66,220,47.272727,0.456238,52.727273,0.519453,10,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-IMU-LOSO/models/cx_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-IMU-LOSO/models/cx_supLP120_k3_head_only_last.pth
cx,supMAE,0,none,0,286,52.447552,0.515093,52.447552,0.515093,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-IMU-LOSO/models/cx_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,
cx,supMAE,1,head_only,22,264,49.242424,0.478566,54.545455,0.528370,5,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-IMU-LOSO/models/cx_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-IMU-LOSO/models/cx_supMAE_k1_head_only_last.pth
cx,supMAE,3,head_only,66,220,55.454545,0.554269,55.909091,0.555465,14,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-IMU-LOSO/models/cx_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-IMU-LOSO/models/cx_supMAE_k3_head_only_last.pth
cx,mae,0,none,0,286,45.454545,0.446742,45.454545,0.446742,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-IMU-LOSO/models/cx_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,
