test_subject,method,init,train_samples,val_samples,best_epoch,best_val_acc,final_val_acc,final_val_macro_f1,base_ckpt,pretrained_ckpt,note
cx,scratch,scratch,703,176,41,97.159091,94.318182,0.937081,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed43/models/cx_scratch_baseFull_bestVal.pth,,"random init, then base-trained on 4 subjects"
cx,supLP120,pretrained,703,176,12,94.886364,94.318182,0.943143,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed43/models/cx_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,source supervised NTU-120
cx,supMAE,pretrained,703,176,32,97.727273,96.590909,0.965798,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed43/models/cx_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,hybrid supervised + MAE checkpoint used by active LOSO scripts
cx,mae,pretrained,703,176,27,98.295455,97.727273,0.977206,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed43/models/cx_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,source MAE geodesic
cx,supcon,pretrained,703,176,9,96.590909,96.590909,0.965662,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed43/models/cx_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"source supervised contrastive (SupCon), NTU-120"
cyy,scratch,scratch,748,197,61,97.969543,97.969543,0.979735,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed43/models/cyy_scratch_baseFull_bestVal.pth,,"random init, then base-trained on 4 subjects"
cyy,supLP120,pretrained,748,197,15,97.461929,97.461929,0.974574,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed43/models/cyy_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,source supervised NTU-120
cyy,supMAE,pretrained,748,197,29,97.969543,97.461929,0.974293,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed43/models/cyy_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,hybrid supervised + MAE checkpoint used by active LOSO scripts
cyy,mae,pretrained,748,197,29,97.461929,97.461929,0.975019,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed43/models/cyy_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,source MAE geodesic
cyy,supcon,pretrained,748,197,9,98.477157,98.477157,0.984817,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed43/models/cyy_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"source supervised contrastive (SupCon), NTU-120"
myj,scratch,scratch,748,197,41,98.477157,96.954315,0.969524,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed43/models/myj_scratch_baseFull_bestVal.pth,,"random init, then base-trained on 4 subjects"
myj,supLP120,pretrained,748,197,4,96.954315,96.954315,0.969508,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed43/models/myj_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,source supervised NTU-120
myj,supMAE,pretrained,748,197,46,97.969543,97.461929,0.974054,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed43/models/myj_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,hybrid supervised + MAE checkpoint used by active LOSO scripts
myj,mae,pretrained,748,197,39,95.431472,95.431472,0.954519,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed43/models/myj_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,source MAE geodesic
myj,supcon,pretrained,748,197,20,97.461929,96.446701,0.964750,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed43/models/myj_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"source supervised contrastive (SupCon), NTU-120"
qyh,scratch,scratch,748,176,56,98.295455,97.727273,0.977345,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed43/models/qyh_scratch_baseFull_bestVal.pth,,"random init, then base-trained on 4 subjects"
qyh,supLP120,pretrained,748,176,10,98.863636,98.863636,0.988592,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed43/models/qyh_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,source supervised NTU-120
qyh,supMAE,pretrained,748,176,41,99.431818,98.295455,0.983266,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed43/models/qyh_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,hybrid supervised + MAE checkpoint used by active LOSO scripts
qyh,mae,pretrained,748,176,27,98.863636,98.863636,0.988456,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed43/models/qyh_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,source MAE geodesic
qyh,supcon,pretrained,748,176,10,99.431818,98.295455,0.982752,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed43/models/qyh_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"source supervised contrastive (SupCon), NTU-120"
zyh,scratch,scratch,769,198,70,95.959596,95.454545,0.954656,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed43/models/zyh_scratch_baseFull_bestVal.pth,,"random init, then base-trained on 4 subjects"
zyh,supLP120,pretrained,769,198,12,96.969697,96.464646,0.964850,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed43/models/zyh_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,source supervised NTU-120
zyh,supMAE,pretrained,769,198,74,95.959596,84.343434,0.841689,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed43/models/zyh_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,hybrid supervised + MAE checkpoint used by active LOSO scripts
zyh,mae,pretrained,769,198,39,93.939394,93.939394,0.940003,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed43/models/zyh_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,source MAE geodesic
zyh,supcon,pretrained,769,198,43,96.969697,96.969697,0.969874,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed43/models/zyh_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"source supervised contrastive (SupCon), NTU-120"
