test_subject,method,k,calibration_mode,calib_samples,eval_samples,final_acc,final_macro_f1,best_diag_acc,best_diag_macro_f1,best_diag_epoch,base_ckpt,pretrained_ckpt,calibration_ckpt
cx,scratch,0,none,0,286,87.062937,0.855937,87.062937,0.855937,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed44/models/cx_scratch_baseFull_bestVal.pth,,
cx,scratch,1,head_only,22,264,94.696970,0.946217,94.696970,0.946217,28,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed44/models/cx_scratch_baseFull_bestVal.pth,,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed44/models/cx_scratch_k1_head_only_last.pth
cx,scratch,3,head_only,66,220,93.181818,0.931164,93.636364,0.935737,22,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed44/models/cx_scratch_baseFull_bestVal.pth,,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed44/models/cx_scratch_k3_head_only_last.pth
cx,supLP120,0,none,0,286,91.608392,0.913778,91.608392,0.913778,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed44/models/cx_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,
cx,supLP120,1,head_only,22,264,90.909091,0.898621,92.424242,0.921858,1,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed44/models/cx_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed44/models/cx_supLP120_k1_head_only_last.pth
cx,supLP120,3,head_only,66,220,95.909091,0.958214,96.818182,0.967570,21,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed44/models/cx_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed44/models/cx_supLP120_k3_head_only_last.pth
cx,supMAE,0,none,0,286,89.860140,0.891309,89.860140,0.891309,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed44/models/cx_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,
cx,supMAE,1,head_only,22,264,92.045455,0.916046,92.803030,0.922628,8,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed44/models/cx_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed44/models/cx_supMAE_k1_head_only_last.pth
cx,supMAE,3,head_only,66,220,95.000000,0.949409,95.000000,0.949409,27,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed44/models/cx_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed44/models/cx_supMAE_k3_head_only_last.pth
cx,mae,0,none,0,286,88.811189,0.880330,88.811189,0.880330,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO-seed44/models/cx_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,
