test_subject,method,k,calibration_mode,calib_samples,eval_samples,final_acc,final_macro_f1,best_diag_acc,best_diag_macro_f1,best_diag_epoch,base_ckpt,pretrained_ckpt,calibration_ckpt
cx,scratch,0,none,0,286,85.664336,0.846141,85.664336,0.846141,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cx_scratch_baseFull_bestVal.pth,,
cx,scratch,1,head_only,22,264,91.666667,0.914968,91.666667,0.914968,22,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cx_scratch_baseFull_bestVal.pth,,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cx_scratch_k1_head_only_last.pth
cx,scratch,3,head_only,66,220,91.818182,0.913429,92.272727,0.918415,22,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cx_scratch_baseFull_bestVal.pth,,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cx_scratch_k3_head_only_last.pth
cx,supLP120,0,none,0,286,90.909091,0.903616,90.909091,0.903616,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cx_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,
cx,supLP120,1,head_only,22,264,88.257576,0.873771,90.909091,0.904384,1,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cx_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cx_supLP120_k1_head_only_last.pth
cx,supLP120,3,head_only,66,220,95.000000,0.947998,95.000000,0.949272,11,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cx_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cx_supLP120_k3_head_only_last.pth
cx,supMAE,0,none,0,286,87.412587,0.865994,87.412587,0.865994,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cx_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,
cx,supMAE,1,head_only,22,264,90.909091,0.907718,91.666667,0.916629,7,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cx_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cx_supMAE_k1_head_only_last.pth
cx,supMAE,3,head_only,66,220,95.909091,0.958645,95.909091,0.958645,24,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cx_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cx_supMAE_k3_head_only_last.pth
cx,mae,0,none,0,286,85.664336,0.841815,85.664336,0.841815,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cx_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,
cx,mae,1,head_only,22,264,88.636364,0.878446,89.015152,0.887954,5,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cx_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cx_mae_k1_head_only_last.pth
cx,mae,3,head_only,66,220,91.363636,0.911255,92.272727,0.922382,27,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cx_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cx_mae_k3_head_only_last.pth
cx,supcon,0,none,0,286,96.853147,0.968302,96.853147,0.968302,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cx_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,
cx,supcon,1,head_only,22,264,93.939394,0.924189,95.833333,0.957567,1,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cx_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cx_supcon_k1_head_only_last.pth
cx,supcon,3,head_only,66,220,98.636364,0.986260,98.636364,0.986260,6,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cx_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cx_supcon_k3_head_only_last.pth
cyy,scratch,0,none,0,220,73.181818,0.720643,73.181818,0.720643,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cyy_scratch_baseFull_bestVal.pth,,
cyy,scratch,1,head_only,22,198,82.828283,0.828001,83.838384,0.834369,17,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cyy_scratch_baseFull_bestVal.pth,,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cyy_scratch_k1_head_only_last.pth
cyy,scratch,3,head_only,66,154,84.415584,0.840328,85.714286,0.855619,22,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cyy_scratch_baseFull_bestVal.pth,,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cyy_scratch_k3_head_only_last.pth
cyy,supLP120,0,none,0,220,86.363636,0.846365,86.363636,0.846365,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cyy_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,
cyy,supLP120,1,head_only,22,198,93.434343,0.933671,94.444444,0.942601,18,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cyy_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cyy_supLP120_k1_head_only_last.pth
cyy,supLP120,3,head_only,66,154,96.103896,0.960839,96.103896,0.960001,14,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cyy_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cyy_supLP120_k3_head_only_last.pth
cyy,supMAE,0,none,0,220,85.454545,0.844338,85.454545,0.844338,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cyy_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,
cyy,supMAE,1,head_only,22,198,92.929293,0.926786,92.929293,0.920317,6,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cyy_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cyy_supMAE_k1_head_only_last.pth
cyy,supMAE,3,head_only,66,154,94.805195,0.946110,96.753247,0.967162,19,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cyy_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cyy_supMAE_k3_head_only_last.pth
cyy,mae,0,none,0,220,81.818182,0.804832,81.818182,0.804832,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cyy_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,
cyy,mae,1,head_only,22,198,88.888889,0.884008,89.898990,0.891016,9,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cyy_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cyy_mae_k1_head_only_last.pth
cyy,mae,3,head_only,66,154,92.857143,0.923922,93.506494,0.929669,29,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cyy_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cyy_mae_k3_head_only_last.pth
cyy,supcon,0,none,0,220,87.272727,0.867995,87.272727,0.867995,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cyy_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,
cyy,supcon,1,head_only,22,198,95.454545,0.955523,96.464646,0.965328,16,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cyy_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cyy_supcon_k1_head_only_last.pth
cyy,supcon,3,head_only,66,154,96.103896,0.961131,97.402597,0.973485,10,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cyy_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/cyy_supcon_k3_head_only_last.pth
myj,scratch,0,none,0,220,88.636364,0.883345,88.636364,0.883345,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/myj_scratch_baseFull_bestVal.pth,,
myj,scratch,1,head_only,22,198,91.414141,0.913161,92.424242,0.923772,2,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/myj_scratch_baseFull_bestVal.pth,,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/myj_scratch_k1_head_only_last.pth
myj,scratch,3,head_only,66,154,95.454545,0.954283,96.103896,0.960052,17,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/myj_scratch_baseFull_bestVal.pth,,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/myj_scratch_k3_head_only_last.pth
myj,supLP120,0,none,0,220,94.090909,0.940509,94.090909,0.940509,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/myj_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,
myj,supLP120,1,head_only,22,198,97.979798,0.979640,97.979798,0.979735,19,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/myj_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/myj_supLP120_k1_head_only_last.pth
myj,supLP120,3,head_only,66,154,97.402597,0.973893,97.402597,0.973689,4,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/myj_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/myj_supLP120_k3_head_only_last.pth
myj,supMAE,0,none,0,220,91.363636,0.912337,91.363636,0.912337,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/myj_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,
myj,supMAE,1,head_only,22,198,94.444444,0.944123,94.949495,0.949131,27,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/myj_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/myj_supMAE_k1_head_only_last.pth
myj,supMAE,3,head_only,66,154,97.402597,0.973893,97.402597,0.973893,25,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/myj_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/myj_supMAE_k3_head_only_last.pth
myj,mae,0,none,0,220,87.272727,0.869958,87.272727,0.869958,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/myj_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,
myj,mae,1,head_only,22,198,91.919192,0.916497,91.919192,0.916497,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/myj_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/myj_mae_k1_head_only_last.pth
myj,mae,3,head_only,66,154,92.857143,0.927552,94.155844,0.940704,20,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/myj_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/myj_mae_k3_head_only_last.pth
myj,supcon,0,none,0,220,89.545455,0.883688,89.545455,0.883688,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/myj_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,
myj,supcon,1,head_only,22,198,95.959596,0.959271,95.959596,0.959271,26,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/myj_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/CZU-skeleton-LOSO/models/myj_supcon_k1_head_only_last.pth
