test_subject,oov_label,method,num_known_classes,base_train_samples,base_val_samples,best_epoch,best_val_acc,final_val_acc,final_val_macro_f1,base_ckpt,pretrained_ckpt
sub10,airkick,scratch,21,1651,415,38,99.036145,97.108434,0.967699,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airkick_scratch_base21_bestVal.pth,
sub10,airkick,supLP120,21,1651,415,7,98.795181,98.313253,0.986830,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airkick_supLP120_base21_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth
sub10,airkick,supMAE,21,1651,415,47,99.759036,99.277108,0.991665,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airkick_supMAE_base21_bestVal.pth,trained_models/SUPMAE/supmae_best.pth
sub10,airkick,mae,21,1651,415,22,99.036145,94.939759,0.948498,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airkick_mae_base21_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth
sub10,airkick,supcon,21,1651,415,8,97.831325,97.349398,0.974074,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airkick_supcon_base21_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth
sub10,airpunch,scratch,21,1662,417,27,98.800959,98.081535,0.980495,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airpunch_scratch_base21_bestVal.pth,
sub10,airpunch,supLP120,21,1662,417,34,97.841727,97.362110,0.975688,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airpunch_supLP120_base21_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth
sub10,airpunch,supMAE,21,1662,417,14,98.800959,98.081535,0.983648,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airpunch_supMAE_base21_bestVal.pth,trained_models/SUPMAE/supmae_best.pth
sub10,airpunch,mae,21,1662,417,15,99.040767,98.321343,0.983953,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airpunch_mae_base21_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth
sub10,airpunch,supcon,21,1662,417,22,98.561151,97.841727,0.979660,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airpunch_supcon_base21_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth
