test_subject,oov_label,method,k,calibration_mode,base_train_samples,base_val_samples,calib_samples,eval_samples,eval_known_samples,eval_oov_samples,final_acc_all,final_macro_f1_all,final_acc_known,final_macro_f1_known,final_acc_oov,final_recall_oov,best_diag_acc_all,best_diag_epoch,base_ckpt,calibration_ckpt,pretrained_ckpt,oov_pred_counts_json
sub10,airkick,scratch,1,head_only,1651,415,22,478,459,19,85.146444,0.843540,88.017429,0.886613,15.789474,15.789474,85.146444,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airkick_scratch_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airkick_scratch_k1_head_only_last.pth,,"{""airkick"": 3, ""crosstoe"": 2, ""hop"": 6, ""sidekick"": 3, ""turnaround"": 5}"
sub10,airkick,scratch,3,head_only,1651,415,66,434,417,17,92.857143,0.910505,95.923261,0.955235,17.647059,17.647059,92.857143,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airkick_scratch_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airkick_scratch_k3_head_only_last.pth,,"{""airkick"": 3, ""crosstoe"": 3, ""hop"": 6, ""turnaround"": 5}"
sub10,airkick,scratch,5,head_only,1651,415,110,390,375,15,94.871795,0.935487,96.533333,0.962657,53.333333,53.333333,94.871795,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airkick_scratch_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airkick_scratch_k5_head_only_last.pth,,"{""airkick"": 8, ""hop"": 4, ""sidekick"": 1, ""stand"": 2}"
sub10,airkick,scratch,10,head_only,1651,415,220,280,270,10,96.785714,0.956558,97.777778,0.969312,70.000000,70.000000,96.785714,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airkick_scratch_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airkick_scratch_k10_head_only_last.pth,,"{""airkick"": 7, ""hop"": 2, ""jump"": 1}"
sub10,airkick,supLP120,1,head_only,1651,415,22,478,459,19,88.284519,0.885874,90.849673,0.917769,26.315789,26.315789,88.284519,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airkick_supLP120_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airkick_supLP120_k1_head_only_last.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,"{""airkick"": 5, ""sidekick"": 5, ""stand"": 1, ""throw"": 1, ""turnaround"": 7}"
sub10,airkick,supLP120,3,head_only,1651,415,66,434,417,17,94.930876,0.938651,98.081535,0.979684,17.647059,17.647059,94.930876,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airkick_supLP120_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airkick_supLP120_k3_head_only_last.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,"{""airkick"": 3, ""hop"": 2, ""jump"": 1, ""sidekick"": 2, ""turnaround"": 9}"
sub10,airkick,supLP120,5,head_only,1651,415,110,390,375,15,94.358974,0.931973,96.533333,0.963008,40.000000,40.000000,94.358974,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airkick_supLP120_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airkick_supLP120_k5_head_only_last.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,"{""airkick"": 6, ""buttkicks"": 1, ""hop"": 3, ""jump"": 2, ""sidekick"": 1, ""turnaround"": 2}"
sub10,airkick,supLP120,10,head_only,1651,415,220,280,270,10,97.857143,0.978270,98.148148,0.984798,90.000000,90.000000,97.857143,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airkick_supLP120_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airkick_supLP120_k10_head_only_last.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,"{""airkick"": 9, ""jump"": 1}"
sub10,airkick,supMAE,1,head_only,1651,415,22,478,459,19,88.075314,0.878995,91.067538,0.920807,15.789474,15.789474,88.075314,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airkick_supMAE_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airkick_supMAE_k1_head_only_last.pth,trained_models/SUPMAE/supmae_best.pth,"{""airkick"": 3, ""hop"": 7, ""jump"": 1, ""sidekick"": 8}"
sub10,airkick,supMAE,3,head_only,1651,415,66,434,417,17,95.161290,0.933266,98.321343,0.980295,17.647059,17.647059,95.161290,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airkick_supMAE_base21_bestVal.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-LeaveClassOutFewShot/models/sub10_oov-airkick_supMAE_k3_head_only_last.pth,trained_models/SUPMAE/supmae_best.pth,"{""airkick"": 3, ""airpunch"": 1, ""hop"": 7, ""sidekick"": 6}"
