seed,subject,method,k,file,true_id,true_label,pred_id,conf,correct,logits
43,sub9,supMAE,3,sub9-a__0001__wave.npy,21,wave,21,0.99937314,1,"[0.7616, 3.20229, -2.3548, 15.54995, -2.0208, -5.1916, -6.4498, 3.8344, 6.02122, -11.31089, -5.10366, -8.3755, -1.42213, 10.29098, -3.03014, 0.94165, -4.01832, 2.29614, 5.2234, -9.73444, -4.45961, 22.92949]"
43,sub9,supMAE,3,sub9-a__0002__wave.npy,21,wave,21,0.99998,1,"[1.24054, 2.89834, -0.7896, 14.34167, -2.63308, -6.87011, -5.64, 1.10477, 8.05231, -10.89597, -4.43581, -9.13604, -1.28722, 9.505, -2.12071, 1.74723, -5.66203, 1.99752, 4.7062, -8.80088, -2.96389, 25.16585]"
43,sub9,supMAE,3,sub9-a__0003__wave.npy,21,wave,21,0.9999876,1,"[1.92877, 3.58706, -1.32795, 13.12469, -3.06951, -6.79941, -5.79213, 1.1759, 9.50267, -11.0233, -4.48372, -8.81782, -1.08365, 8.29607, -1.37088, 0.97906, -5.37009, 1.39187, 4.97163, -8.67621, -3.63819, 24.46608]"
43,sub9,supMAE,3,sub9-a__0004__wave.npy,21,wave,21,0.99902403,1,"[0.45231, 3.67617, -2.4106, 15.72082, -1.9035, -4.69426, -6.43903, 4.37267, 5.70909, -11.59191, -5.63738, -8.435, -1.56575, 10.54139, -3.20769, 0.8422, -3.62931, 2.5503, 5.06131, -9.923, -4.8707, 22.65764]"
43,sub9,supMAE,3,sub9-a__0005__wave.npy,21,wave,21,0.9997733,1,"[0.79025, 3.61302, -1.86776, 14.63813, -2.17282, -5.17841, -6.30757, 3.82913, 6.67871, -11.32292, -5.50824, -8.40013, -1.51551, 9.46284, -2.84309, 0.97589, -4.11944, 2.39887, 5.10612, -9.56959, -4.20583, 23.03639]"
43,sub9,supMAE,3,sub9-a__0006__wave.npy,21,wave,21,0.99962425,1,"[0.83626, 3.75959, -2.18411, 14.88913, -2.05419, -4.90982, -6.50097, 4.00459, 6.46779, -11.46235, -5.55485, -8.36323, -1.56298, 9.72406, -2.87079, 0.72873, -3.79351, 2.34304, 5.00476, -9.61427, -4.49278, 22.7816]"
43,sub9,supMAE,3,sub9-a__0008__bow.npy,2,bow,2,0.99988604,1,"[6.06621, -0.43738, 19.42301, 1.75279, -16.35779, -5.81376, 9.71227, -9.12873, 4.59869, -6.44948, 4.72259, 1.58315, 2.9955, -7.00582, 9.52567, -0.50732, -9.36639, -2.02426, -4.63865, -1.49049, 1.4555, 4.99561]"
43,sub9,supMAE,3,sub9-a__0009__bow.npy,2,bow,2,0.99983454,1,"[6.2285, -0.21463, 18.87007, 1.50341, -16.52363, -5.9037, 9.17551, -9.42061, 5.24307, -5.75877, 6.00012, 1.91533, 2.57833, -7.3923, 9.62072, -0.92634, -9.13726, -2.95954, -4.57549, -0.81056, 1.88312, 4.11722]"
43,sub9,supMAE,3,sub9-a__0011__bow.npy,2,bow,2,0.99960893,1,"[6.53233, 0.0784, 19.47052, 1.06587, -17.06557, -5.45572, 10.45391, -9.17528, 4.78306, -6.40243, 4.75037, 2.68353, 3.27551, -7.9554, 11.24066, -1.71335, -8.36099, -2.4375, -5.42196, -1.27484, -0.04525, 3.2753]"
43,sub9,supMAE,3,sub9-a__0012__crossarms.npy,5,crossarms,5,0.999821,1,"[0.95002, 5.50014, -6.15251, 6.26745, -2.96169, 18.23373, -3.02186, 7.42683, -3.5372, -2.997, -5.39154, 3.79767, -2.41008, 1.83155, 1.45376, -7.82709, 9.42032, 0.73317, 0.05316, -7.01922, -8.95967, -6.3198]"
