test_subject,method,init,train_samples,val_samples,best_epoch,best_val_acc,final_val_acc,final_val_macro_f1,base_ckpt,pretrained_ckpt,note
sub10,scratch,scratch,1725,433,17,99.769053,99.307159,0.992503,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2-seed44/models/sub10_scratch_baseFull_bestVal.pth,,"random init, then base-trained on 4 subjects"
sub10,supLP120,pretrained,1725,433,13,98.152425,97.690531,0.974946,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2-seed44/models/sub10_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,source supervised NTU-120
sub10,supMAE,pretrained,1725,433,45,99.076212,98.383372,0.983775,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2-seed44/models/sub10_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,hybrid supervised + MAE checkpoint used by active LOSO scripts
sub10,mae,pretrained,1725,433,59,99.769053,99.538106,0.996559,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2-seed44/models/sub10_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,source MAE geodesic
sub10,supcon,pretrained,1725,433,15,98.614319,98.383372,0.984442,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2-seed44/models/sub10_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"source supervised contrastive (SupCon), NTU-120"
sub11,scratch,scratch,1699,426,35,99.061033,94.835681,0.943938,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2-seed44/models/sub11_scratch_baseFull_bestVal.pth,,"random init, then base-trained on 4 subjects"
sub11,supLP120,pretrained,1699,426,24,98.826291,97.887324,0.978228,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2-seed44/models/sub11_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,source supervised NTU-120
sub11,supMAE,pretrained,1699,426,18,99.061033,98.826291,0.987774,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2-seed44/models/sub11_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,hybrid supervised + MAE checkpoint used by active LOSO scripts
sub11,mae,pretrained,1699,426,50,98.826291,98.356808,0.983382,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2-seed44/models/sub11_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,source MAE geodesic
sub11,supcon,pretrained,1699,426,29,99.765258,99.295775,0.992843,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2-seed44/models/sub11_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"source supervised contrastive (SupCon), NTU-120"
sub7,scratch,scratch,1688,424,48,99.056604,98.113208,0.985167,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2-seed44/models/sub7_scratch_baseFull_bestVal.pth,,"random init, then base-trained on 4 subjects"
sub7,supLP120,pretrained,1688,424,17,99.292453,98.820755,0.988325,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2-seed44/models/sub7_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,source supervised NTU-120
sub7,supMAE,pretrained,1688,424,62,99.056604,98.820755,0.987891,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2-seed44/models/sub7_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,hybrid supervised + MAE checkpoint used by active LOSO scripts
sub7,mae,pretrained,1688,424,17,99.056604,98.584906,0.984268,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2-seed44/models/sub7_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,source MAE geodesic
sub7,supcon,pretrained,1688,424,20,99.292453,98.349057,0.985665,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2-seed44/models/sub7_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,"source supervised contrastive (SupCon), NTU-120"
sub8,scratch,scratch,1692,423,27,99.527187,99.290780,0.994117,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2-seed44/models/sub8_scratch_baseFull_bestVal.pth,,"random init, then base-trained on 4 subjects"
sub8,supLP120,pretrained,1692,423,25,97.635934,97.635934,0.977758,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2-seed44/models/sub8_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,source supervised NTU-120
sub8,supMAE,pretrained,1692,423,19,99.763593,99.527187,0.996646,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2-seed44/models/sub8_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,hybrid supervised + MAE checkpoint used by active LOSO scripts
