seed,subject,method,k,file,true_id,true_label,pred_id,conf,correct,logits
44,sub11,mae,3,sub11-a__0002__wave.npy,21,wave,21,0.93817496,1,"[-0.95907, 5.82315, 1.12012, 0.67849, -8.20839, -4.09617, -0.06954, 4.41533, 12.50553, -8.51057, -8.53355, 0.18311, -0.16003, -2.8384, -5.17191, -0.33195, -6.88574, 1.08407, 2.16404, -4.59729, -4.18818, 15.22679]"
44,sub11,mae,3,sub11-a__0003__wave.npy,21,wave,21,0.93786377,1,"[-0.66565, 6.47834, 0.84721, 0.11558, -7.86346, -4.59262, -0.39649, 4.33305, 13.15582, -8.00018, -9.15682, 0.24512, -0.49493, -3.03743, -5.26333, 0.01711, -6.7793, 1.33506, 1.87586, -4.59162, -4.56142, 15.87153]"
44,sub11,mae,3,sub11-a__0004__wave.npy,21,wave,21,0.9426463,1,"[-0.61402, 6.46297, 0.5918, -0.29668, -7.73853, -4.21472, -0.95929, 3.97959, 13.52638, -7.85125, -9.38593, -0.08921, -0.89203, -2.98043, -5.12813, 0.42001, -6.65264, 1.72562, 1.58803, -4.69525, -4.70864, 16.32678]"
44,sub11,mae,3,sub11-a__0005__wave.npy,21,wave,21,0.92437786,1,"[-0.97484, 5.90404, 0.76973, 0.65155, -7.87409, -3.51642, -0.72204, 5.03768, 12.3814, -7.85131, -8.87862, 0.52189, -0.71681, -2.82525, -5.1156, 0.25813, -5.94219, 1.43824, 2.1477, -4.44339, -5.01288, 14.88704]"
44,sub11,mae,3,sub11-a__0006__wave.npy,21,wave,21,0.8392703,1,"[-0.82212, 5.97582, 1.17952, -0.11154, -8.15986, -4.03088, -0.71242, 4.46801, 13.54682, -8.10465, -8.63533, 0.29187, -0.04543, -3.7575, -4.99582, 0.06678, -6.99882, 1.63703, 2.008, -3.95885, -4.55123, 15.20029]"
44,sub11,mae,3,sub11-a__0007__bow.npy,2,bow,2,0.9941643,1,"[2.67053, -0.93693, 14.49978, -3.95031, -8.87877, -6.18853, 3.53771, -2.75318, 7.50453, -4.49697, 1.64574, 8.05942, 8.7397, -11.47841, -0.03237, -4.63727, -11.763, -3.36922, -1.15833, 5.8631, 1.05525, -4.36447]"
44,sub11,mae,3,sub11-a__0008__bow.npy,2,bow,2,0.9947784,1,"[2.6485, 0.08484, 15.27447, -4.69445, -9.76068, -6.87216, 3.50091, -2.56396, 8.55152, -5.22806, 0.64062, 8.88841, 9.2063, -11.19158, 0.27403, -5.38008, -11.99749, -3.83484, -1.27336, 4.96245, 0.48824, -3.74066]"
44,sub11,mae,3,sub11-a__0009__bow.npy,2,bow,2,0.9893773,1,"[1.97957, -1.46443, 14.72534, -3.19908, -9.28395, -5.87365, 4.52128, -2.59677, 6.53245, -4.85849, 1.48176, 9.49237, 9.43483, -10.74862, 0.45271, -5.31369, -10.8645, -4.2657, -1.07905, 4.59764, 0.53764, -4.4023]"
44,sub11,mae,3,sub11-a__0010__bow.npy,2,bow,2,0.98899287,1,"[2.14588, -1.03085, 15.07553, -3.90697, -9.44032, -6.26365, 4.34293, -2.57134, 6.95555, -4.35169, 1.2613, 9.99543, 9.68422, -11.01955, 0.58195, -5.2767, -10.66535, -4.67198, -1.06849, 4.67533, 0.25953, -4.69133]"
44,sub11,mae,3,sub11-a__0011__bow.npy,2,bow,2,0.9878109,1,"[2.12367, -0.97747, 14.98097, -3.85538, -9.44707, -6.23692, 4.33112, -2.5243, 7.00727, -4.23478, 1.29036, 9.95386, 9.75535, -10.95512, 0.51842, -5.2588, -10.535, -4.82061, -1.07779, 4.61959, 0.25631, -4.50928]"
44,sub11,mae,3,sub11-a__0012__crossarms.npy,5,crossarms,5,0.9688315,1,"[-3.36159, 5.30071, -1.45268, 6.87292, -3.67682, 10.69427, 3.59947, 5.1076, 0.3551, -1.82989, -5.70643, 3.13843, 1.44852, -2.63766, -4.3269, 2.19598, 2.16675, -1.4934, -1.17009, -2.53138, -5.78539, 1.13031]"
44,sub11,mae,3,sub11-a__0013__crossarms.npy,5,crossarms,5,0.94944227,1,"[-3.56813, 5.28215, -1.84978, 8.11927, -3.61353, 11.25361, 3.24586, 6.17209, -0.37954, -3.14647, -4.62621, 2.92354, 1.63705, -1.35306, -4.4264, 0.96518, 2.57167, -1.59321, -1.53713, -4.17685, -6.01306, 1.98516]"
44,sub11,mae,3,sub11-a__0014__crossarms.npy,5,crossarms,5,0.9937604,1,"[-3.57868, 5.8398, -3.05574, 7.51166, -2.44989, 12.87706, 2.57214, 5.19722, -1.74974, -1.00634, -6.4346, 1.18712, -0.20283, -0.22904, -4.17503, 2.54881, 4.24142, -1.6574, -1.87983, -2.25797, -6.05506, 0.27352]"
44,sub11,mae,3,sub11-a__0015__crossarms.npy,5,crossarms,5,0.9956014,1,"[-4.17304, 4.60633, -2.4011, 7.14203, -3.0203, 12.9127, 3.48715, 5.61482, -1.42927, -1.03371, -6.09465, 3.1853, 0.8148, -1.79172, -4.10551, 2.62015, 4.34403, -1.61861, -0.74307, -2.8192, -6.36384, 0.08577]"
44,sub11,mae,3,sub11-a__0016__crossarms.npy,5,crossarms,5,0.99886465,1,"[-3.77222, 4.4357, -2.83049, 6.91935, -2.34249, 13.96489, 2.64937, 4.75469, -2.4891, -0.49377, -5.55194, 1.30741, 0.12032, -1.17434, -3.75574, 3.00783, 4.18895, -1.65085, -0.95628, -0.78264, -5.66798, -1.77157]"
44,sub11,mae,3,sub11-a__0017__airpunch.npy,1,airpunch,1,0.9772868,1,"[-0.42782, 12.75882, -2.0976, 8.48495, -4.58528, 3.77777, -1.43673, 4.83313, 3.20975, -8.57562, -4.61065, -3.87914, -1.08369, 7.82766, -4.61781, -3.98524, -1.35245, -1.65063, -5.02869, -7.44035, -4.48559, 6.27723]"
44,sub11,mae,3,sub11-a__0018__airpunch.npy,1,airpunch,8,0.54582036,0,"[3.16723, 9.94028, 3.22562, 0.2072, -6.45607, -4.73816, -2.51408, 1.26945, 10.1485, -7.51225, -1.06834, -2.07434, 0.6279, -0.21805, -3.1434, -4.08187, -9.40407, -0.76745, -3.35576, -1.14209, -1.64056, 6.12016]"
