seed,subject,method,k,file,true_id,true_label,pred_id,conf,correct,logits
44,sub11,supcon,3,sub11-a__0002__wave.npy,21,wave,21,0.9957897,1,"[2.88075, -2.35456, 3.53844, 8.58052, -3.40847, -3.72026, 0.25147, -2.02845, 5.80395, -3.54215, -1.62024, -4.99954, -2.53555, -1.9981, 0.69243, -5.21142, -5.2975, -7.24009, -3.98279, -9.14348, -9.38841, 14.11682]"
44,sub11,supcon,3,sub11-a__0003__wave.npy,21,wave,21,0.99746895,1,"[1.93186, -1.33861, 4.10675, 10.01444, -3.04251, -4.44958, -0.89311, -1.71105, 7.0236, -3.40689, -2.03344, -5.63753, -3.346, -3.10634, -0.52806, -5.42896, -5.14053, -7.06203, -5.44389, -8.86161, -9.93403, 16.04299]"
44,sub11,supcon,3,sub11-a__0004__wave.npy,21,wave,21,0.99915624,1,"[3.4799, -2.14915, 4.86264, 10.1471, -3.53009, -4.66489, -1.01811, -3.2638, 6.96554, -3.88435, -1.03589, -5.9403, -4.1366, -2.71937, 1.22784, -6.28341, -6.24649, -7.4571, -4.58925, -9.24133, -11.0688, 17.2708]"
44,sub11,supcon,3,sub11-a__0005__wave.npy,21,wave,21,0.9992207,1,"[1.94437, -1.15028, 2.37769, 8.31851, -2.1071, -3.19576, -0.37232, -1.65292, 7.23573, -2.26357, -1.50885, -5.58459, -4.4927, -3.6527, 0.41482, -5.02505, -6.0468, -7.03329, -3.16681, -8.04975, -10.19585, 15.77042]"
44,sub11,supcon,3,sub11-a__0006__wave.npy,21,wave,21,0.99966156,1,"[2.23375, -0.65471, 3.50992, 9.70635, -1.90963, -4.69684, -1.56313, -2.46325, 7.85743, -2.60013, -1.59679, -5.80163, -4.37805, -3.90302, 0.36265, -5.73014, -5.7233, -7.45783, -5.23704, -8.51728, -10.23228, 17.84573]"
44,sub11,supcon,3,sub11-a__0007__bow.npy,2,bow,2,0.9910817,1,"[0.17755, 0.11561, 8.67416, 1.8327, -1.82402, -8.36914, 0.54567, -2.30354, 2.81083, -3.91234, 2.65643, 2.09198, -2.91093, -1.53099, -1.85286, -1.50272, -7.58119, -1.75902, -8.78297, -1.06305, -2.91486, 0.627]"
44,sub11,supcon,3,sub11-a__0008__bow.npy,2,bow,2,0.9960991,1,"[-0.32623, 0.55644, 9.68257, 2.36534, -2.23165, -8.73125, 0.35118, -2.35713, 3.27397, -3.89866, 2.29333, 1.76823, -3.18248, -1.27494, -2.51421, -1.35137, -7.59255, -1.8163, -9.40201, -1.44012, -3.217, 1.55937]"
44,sub11,supcon,3,sub11-a__0009__bow.npy,2,bow,2,0.9913094,1,"[-0.22926, 0.25142, 8.82981, 1.60128, -2.27919, -8.32261, 1.61231, -2.15185, 3.06966, -4.34646, 2.27138, 2.62208, -2.19254, -2.08674, -2.26459, -1.43166, -7.79515, -1.64361, -8.86086, -0.51546, -2.61252, 0.18152]"
44,sub11,supcon,3,sub11-a__0010__bow.npy,2,bow,2,0.9930496,1,"[-0.57685, 0.61533, 9.23818, 1.82228, -2.4353, -8.15453, 1.31602, -2.22443, 3.37077, -3.8787, 2.34004, 2.8016, -2.55513, -2.27918, -2.24474, -1.59418, -7.47698, -1.79303, -9.05915, -1.12459, -3.48286, 0.89931]"
44,sub11,supcon,3,sub11-a__0011__bow.npy,2,bow,2,0.9866686,1,"[-0.57919, -0.35051, 8.17373, 2.50156, -2.27803, -8.49753, 1.12339, -1.92594, 2.647, -3.37136, 1.65564, 1.8503, -1.72298, -1.58509, -2.74596, -1.17459, -7.32916, -2.27235, -9.08863, -2.05466, -2.64508, 1.46454]"
