seed,subject,method,k,file,true_id,true_label,pred_id,conf,correct,logits
44,sub7,scratch,1,sub7-a__0001__wave.npy,21,wave,21,0.96052766,1,"[-1.30178, -1.25673, -0.95271, 9.16878, -8.83349, -13.24892, -1.58035, 5.51842, 9.27076, -5.57816, -8.78067, -0.64128, 0.94626, 2.04104, 3.7862, -9.90393, -5.32553, 4.82696, 6.83955, -8.6383, 4.10851, 13.17422]"
44,sub7,scratch,1,sub7-a__0002__wave.npy,21,wave,21,0.9449121,1,"[-1.8478, -1.52014, -1.19269, 9.81873, -8.32778, -12.41498, -1.93982, 6.1544, 9.12362, -5.50517, -8.47195, -0.98928, 0.78525, 1.8108, 3.34251, -9.892, -4.78068, 4.8137, 6.75744, -8.67816, 4.50279, 13.12157]"
44,sub7,scratch,1,sub7-a__0003__wave.npy,21,wave,21,0.9310873,1,"[-1.78506, -1.0403, -1.06309, 10.51554, -8.41617, -11.64544, -2.4992, 6.96799, 8.95409, -5.86636, -8.09926, -1.31166, 0.60907, 1.88634, 3.111, -10.0981, -4.69211, 4.64018, 6.42332, -8.82837, 4.05802, 13.35062]"
44,sub7,scratch,1,sub7-a__0004__wave.npy,21,wave,21,0.9281822,1,"[-1.90879, -1.0108, -1.2339, 10.37126, -8.31847, -11.87725, -2.26336, 6.85751, 8.93336, -5.79677, -8.2866, -1.12191, 0.72427, 1.92865, 3.19939, -10.09351, -4.50585, 4.47595, 6.55665, -8.80724, 4.01599, 13.18874]"
44,sub7,scratch,1,sub7-a__0005__wave.npy,21,wave,21,0.9234998,1,"[-1.9338, -1.02514, -1.30407, 10.46158, -8.17092, -11.92559, -2.35157, 6.75947, 8.82352, -5.63476, -8.23083, -1.17116, 0.69318, 2.06314, 3.17317, -10.16729, -4.36437, 4.44826, 6.44966, -8.86273, 4.03864, 13.16934]"
44,sub7,scratch,1,sub7-a__0006__bow.npy,2,bow,2,0.9579955,1,"[3.48963, 5.15995, 10.88872, -1.37974, -16.84803, -3.98019, 0.8034, -0.0532, 3.51213, -10.65244, -6.087, 4.77661, 7.52995, -1.48115, 4.23718, -0.51055, -9.52696, 2.49318, -0.77108, -2.23423, -5.49299, 3.70039]"
44,sub7,scratch,1,sub7-a__0007__bow.npy,2,bow,2,0.9485087,1,"[2.92144, 4.98225, 10.75835, -0.89231, -16.28653, -4.25719, 1.40141, 0.44315, 3.1776, -11.11845, -7.16685, 5.22762, 7.62113, -1.04474, 3.96716, -0.17762, -9.08352, 3.24748, -0.76946, -2.62512, -5.85958, 3.92578]"
44,sub7,scratch,1,sub7-a__0008__bow.npy,2,bow,2,0.924432,1,"[2.50855, 5.11712, 10.80662, -0.92709, -16.20199, -4.13385, 1.39155, 0.27986, 2.66528, -10.67207, -6.8868, 5.69025, 8.1374, -0.87606, 4.16662, -0.6943, -8.37655, 2.85668, -1.26949, -2.91474, -6.06423, 3.56752]"
44,sub7,scratch,1,sub7-a__0009__bow.npy,2,bow,2,0.94330347,1,"[2.54003, 4.91356, 10.70039, -0.62303, -16.04813, -4.52878, 1.55181, 0.67179, 3.29407, -11.23948, -7.63124, 5.24905, 7.66531, -0.90206, 3.91494, -0.49785, -8.77579, 3.39568, -0.76554, -2.83319, -5.80716, 4.37023]"
44,sub7,scratch,1,sub7-a__0010__bow.npy,2,bow,2,0.9482617,1,"[3.02643, 5.60192, 10.74892, -0.60849, -15.55649, -3.89748, 0.80345, 0.04456, 2.15152, -10.64319, -6.82366, 5.13396, 7.58476, -0.16255, 3.95692, -0.3625, -8.21977, 2.97794, -1.38754, -2.89389, -6.37642, 3.25713]"
44,sub7,scratch,1,sub7-a__0011__crossarms.npy,5,crossarms,5,0.99997663,1,"[-6.50316, 8.38704, -0.56877, 3.99225, 2.85741, 23.37747, -5.52667, 12.69661, -6.12675, -2.68178, -0.32279, -3.528, -2.80844, -0.61735, -4.44798, -1.15241, 4.45748, -4.71795, 0.13882, 0.3302, -0.00824, -5.092]"
44,sub7,scratch,1,sub7-a__0012__crossarms.npy,5,crossarms,5,0.9999535,1,"[-6.60921, 7.78017, -0.1224, 3.58856, 2.14386, 22.88843, -5.5505, 12.90818, -5.21042, -3.11798, -0.67092, -3.02442, -2.26893, -1.68659, -4.56722, -1.18297, 3.68538, -4.16573, 0.45334, 0.17935, 0.38015, -3.95602]"
44,sub7,scratch,1,sub7-a__0013__crossarms.npy,5,crossarms,5,0.9999839,1,"[-6.63225, 7.1991, -0.41113, 3.21115, 2.57143, 23.32774, -5.05594, 12.28272, -6.26336, -2.38071, -0.11798, -2.64283, -2.27535, -1.30948, -4.33124, -0.67547, 4.30485, -4.17327, 0.13753, 0.59245, 0.57858, -5.40083]"
44,sub7,scratch,1,sub7-a__0014__crossarms.npy,5,crossarms,5,0.99997663,1,"[-6.43225, 7.5064, -0.25197, 2.35484, 1.95654, 23.03696, -4.91752, 12.36293, -5.93796, -2.52282, -0.03265, -2.12875, -1.73989, -1.66387, -4.02858, -0.94622, 4.11931, -4.69121, 0.359, 0.72965, 0.28475, -5.46418]"
44,sub7,scratch,1,sub7-a__0015__crossarms.npy,5,crossarms,5,0.9999747,1,"[-6.71211, 7.5248, -0.45403, 2.83791, 2.2196, 23.06463, -4.76802, 12.47404, -6.24306, -2.44238, -0.13319, -2.26705, -1.9196, -1.34785, -4.01489, -0.84261, 4.4387, -4.6148, 0.34999, 0.59034, 0.32108, -5.74327]"
44,sub7,scratch,1,sub7-a__0016__airpunch.npy,1,airpunch,1,0.9995167,1,"[-1.80982, 17.32028, -3.45333, 1.94437, 3.30797, -3.12123, -0.74179, 3.25683, -2.25491, 1.98955, -10.43666, -3.5458, -3.88601, 9.33482, 0.20593, -2.56229, 1.33643, -7.1242, 8.45318, -2.69699, -3.73552, -2.69525]"
44,sub7,scratch,1,sub7-a__0017__airpunch.npy,1,airpunch,1,0.99960715,1,"[-1.5567, 17.64758, -2.95003, 0.36957, 4.39593, -2.51216, -0.39948, 3.54755, -2.8417, 1.29566, -11.20788, -3.29608, -3.88347, 8.28399, -1.3343, -0.55195, 0.99544, -7.19739, 9.55032, -1.43752, -3.85944, -3.10767]"
44,sub7,scratch,1,sub7-a__0018__airpunch.npy,1,airpunch,1,0.996675,1,"[-3.80829, 14.42867, -2.91559, 3.45202, 0.34992, -4.76721, 0.0624, 4.32593, 0.32855, -0.18319, -11.7494, -2.18928, -1.75119, 7.87429, 1.17951, -2.76805, 0.12043, -4.30871, 8.13481, -4.57801, -2.99693, 0.84319]"
44,sub7,scratch,1,sub7-a__0019__airpunch.npy,1,airpunch,1,0.99386215,1,"[-4.28084, 13.94782, -3.31326, 4.48446, 0.37515, -5.11758, 1.06498, 4.84486, 0.55287, -0.59278, -12.3882, -1.89822, -2.13589, 8.02927, 1.57971, -3.43105, 0.51236, -4.06909, 8.22897, -4.76502, -2.66408, 0.94813]"
44,sub7,scratch,1,sub7-a__0020__airpunch.npy,1,airpunch,1,0.97797954,1,"[-3.90523, 13.03711, -2.90705, 4.3567, 1.04909, -5.85767, 1.32652, 4.69281, 1.57086, -1.42412, -13.64325, -2.67877, -2.77703, 7.76097, 0.99476, -2.5446, -0.64532, -2.66386, 8.95916, -4.27353, -1.85985, 2.26336]"
44,sub7,scratch,1,sub7-a__0021__drink.npy,7,drink,7,0.9045639,1,"[-4.50652, 4.334, -0.09408, 12.76059, -6.11883, -5.8104, -2.67413, 15.68347, 4.80503, -8.33733, -10.01065, -1.12468, -0.13418, 2.91353, -0.17755, -9.42806, -1.74898, 2.81606, 5.34572, -8.68796, 0.19962, 12.72034]"
44,sub7,scratch,1,sub7-a__0022__drink.npy,7,drink,7,0.99604106,1,"[-5.52264, 4.88792, -0.4215, 11.83077, -5.30466, -4.29408, -1.4534, 17.67444, 4.06371, -8.51834, -10.52887, -0.35344, -0.20201, 1.6597, -0.70347, -8.412, -0.94108, 1.84808, 6.49372, -7.73504, 0.09309, 10.82324]"
