seed,subject,method,k,file,true_id,true_label,pred_id,conf,correct,logits
44,sub7,supLP120,1,sub7-a__0001__wave.npy,21,wave,21,0.9995993,1,"[3.46713, -5.19258, -0.29172, 3.29226, -0.81459, -3.41154, -0.72306, -0.05243, 0.61924, -0.55761, -3.16687, -3.22192, -2.48124, -1.75465, 1.82058, -4.76605, -4.64964, -4.76562, 0.90182, -2.92415, -0.88157, 12.119]"
44,sub7,supLP120,1,sub7-a__0002__wave.npy,21,wave,21,0.99936825,1,"[2.80162, -4.43251, -0.3409, 2.49911, -1.55341, -3.12855, -1.05549, 1.28352, 0.47185, -0.34514, -2.58201, -2.69075, -0.8298, -1.97023, 1.16517, -4.34789, -4.00905, -3.7756, 0.44751, -3.52508, -0.75855, 11.10241]"
44,sub7,supLP120,1,sub7-a__0003__wave.npy,21,wave,21,0.9995932,1,"[2.52362, -4.0976, -0.26268, 3.1077, -1.48495, -3.39958, -1.06732, 1.98611, 0.9631, -0.35584, -2.86229, -2.58976, -0.97045, -2.28949, 0.41894, -4.72586, -3.86528, -4.2192, -0.38505, -3.42675, -0.77233, 11.72265]"
44,sub7,supLP120,1,sub7-a__0004__wave.npy,21,wave,21,0.9990491,1,"[2.41157, -3.85578, -0.36755, 3.61952, -1.01771, -3.3964, -1.28212, 1.9614, 1.05645, -0.24337, -2.57143, -2.07872, -0.72805, -2.64814, 0.4098, -4.65719, -3.57187, -4.42419, -0.49178, -3.61865, -1.39789, 11.11335]"
44,sub7,supLP120,1,sub7-a__0005__wave.npy,21,wave,21,0.9987816,1,"[2.28981, -4.25335, -0.34956, 4.04667, -0.55499, -3.96181, -1.28535, 1.68342, 1.2579, 0.19688, -2.97248, -2.32367, -1.07483, -2.61163, 0.25463, -4.59944, -3.81251, -4.56727, -0.40858, -3.65004, -1.2838, 11.11161]"
44,sub7,supLP120,1,sub7-a__0006__bow.npy,2,bow,2,0.99729663,1,"[-6.84273, -7.7674, 11.64689, -1.8619, -0.74219, -1.91457, 1.70385, -4.48151, -1.45104, -1.84025, -5.15174, 4.52587, 5.18659, -2.24881, 0.20355, -0.33252, -8.75771, -0.55865, -6.8458, -0.65852, 1.40393, 3.21116]"
44,sub7,supLP120,1,sub7-a__0007__bow.npy,2,bow,2,0.9934454,1,"[-9.25873, -6.23459, 9.68987, -1.8625, 0.55074, -1.7597, 1.95012, -3.73487, -0.88228, -1.44527, -5.66758, 2.46038, 3.80983, -0.69938, -1.02929, 1.94008, -7.01632, 0.16015, -6.20981, -2.11704, 1.68465, 3.23681]"
44,sub7,supLP120,1,sub7-a__0008__bow.npy,2,bow,2,0.9936515,1,"[-6.23314, -7.05202, 11.44796, -1.36574, -0.44074, -1.3254, 1.37747, -4.72551, -1.22849, -1.81517, -5.11946, 6.10334, 4.84232, -1.56811, -0.36807, -0.96387, -8.2167, -0.84768, -7.22693, -0.77179, -0.00793, 2.76216]"
44,sub7,supLP120,1,sub7-a__0009__bow.npy,2,bow,2,0.9961628,1,"[-9.17726, -7.21423, 11.30445, -2.17655, -0.00154, -1.40739, 1.81734, -4.26998, -1.33155, -1.65731, -5.22042, 5.04175, 4.80905, -2.03063, -0.15248, 0.54374, -8.09124, 0.20383, -7.37519, -1.53509, 0.62779, 3.06032]"
44,sub7,supLP120,1,sub7-a__0010__bow.npy,2,bow,2,0.98968494,1,"[-6.21607, -7.22526, 11.64084, -1.13485, 0.22342, -1.16074, 0.73278, -4.54515, -1.22793, -1.30978, -4.67525, 6.99213, 4.27251, -2.18113, 0.2835, -1.6221, -7.96671, -1.24922, -7.34112, -1.50047, -0.79061, 2.86701]"
44,sub7,supLP120,1,sub7-a__0011__crossarms.npy,5,crossarms,5,0.9998642,1,"[-2.88954, 6.59333, -6.53761, 2.74625, -10.62949, 18.08893, -2.65874, 9.0718, -1.78046, -4.0107, 0.90663, -1.4391, 5.54778, 2.32785, -2.30621, -0.54158, 2.57749, 2.1721, -8.71558, -0.30148, -2.00788, -4.15772]"
44,sub7,supLP120,1,sub7-a__0012__crossarms.npy,5,crossarms,5,0.99889827,1,"[-2.30745, 5.36811, -7.28889, 2.5863, -9.32305, 16.81582, -1.78008, 9.97885, -1.01253, -3.96478, -0.28547, -0.88072, 5.82118, 2.65844, -2.76303, 0.11574, 2.02704, 1.25711, -8.60122, -0.54678, -1.7369, -2.57353]"
44,sub7,supLP120,1,sub7-a__0013__crossarms.npy,5,crossarms,5,0.99870706,1,"[-2.33131, 6.12729, -7.4149, 1.94994, -9.66808, 17.01643, -1.75743, 10.343, -1.05428, -4.37865, -0.02329, -0.90303, 5.53711, 2.44156, -2.40163, 0.40262, 2.22865, 1.48057, -7.82742, -0.34793, -1.71363, -3.27885]"
44,sub7,supLP120,1,sub7-a__0014__crossarms.npy,5,crossarms,5,0.99778545,1,"[-2.32254, 6.36261, -7.55606, 1.27518, -9.94958, 16.52544, -1.78589, 10.38758, -0.53964, -4.56161, -0.58156, -0.4915, 5.66935, 1.94745, -2.45577, 0.00064, 2.44842, 1.46338, -7.67099, -0.30058, -1.52127, -2.71566]"
44,sub7,supLP120,1,sub7-a__0015__crossarms.npy,5,crossarms,5,0.99892753,1,"[-2.3078, 6.6259, -7.47371, 1.65968, -10.0652, 17.29916, -1.71667, 10.4343, -1.12907, -4.85966, 0.12785, -0.8751, 5.23504, 2.2227, -2.09722, 0.26407, 2.28699, 1.383, -7.35853, -0.26276, -1.64563, -3.73051]"
44,sub7,supLP120,1,sub7-a__0016__airpunch.npy,1,airpunch,1,0.8798465,1,"[-0.12744, 8.28106, -2.08539, -0.71638, -0.14862, -0.47473, -1.16829, -0.8456, 2.35847, -0.37479, -2.41691, 0.23217, -3.31986, 4.23164, -2.95646, 1.36125, 0.39598, -0.20286, 6.09897, 0.80002, -2.34905, -3.48151]"
44,sub7,supLP120,1,sub7-a__0017__airpunch.npy,1,airpunch,1,0.51680565,1,"[0.47141, 7.95399, -1.53674, 0.09105, 0.07315, -0.69283, -0.47695, 0.88907, 0.88296, 0.55655, -2.88505, -0.02597, -3.67543, 1.62983, -1.90282, 2.13826, 0.63443, -1.3206, 7.87569, -0.73344, -2.28477, -3.42737]"
44,sub7,supLP120,1,sub7-a__0018__airpunch.npy,1,airpunch,1,0.80423963,1,"[0.56089, 8.83415, -2.01935, -0.21883, -0.36329, -0.97366, -1.0022, -1.52177, 2.14972, -0.31655, -3.06277, 0.19365, -4.91218, 2.97333, -2.49838, 3.31431, 0.80445, 0.1298, 7.38018, 0.41697, -2.36654, -4.44953]"
44,sub7,supLP120,1,sub7-a__0019__airpunch.npy,1,airpunch,1,0.89985967,1,"[0.45169, 8.85227, -2.0639, 0.51468, -0.4912, -0.66519, -0.45239, -1.06124, 1.10488, -0.59946, -3.12444, -0.31566, -3.44724, 2.83843, -2.95225, 2.4293, 1.06903, 0.03467, 6.59889, 0.21016, -2.3776, -4.69273]"
44,sub7,supLP120,1,sub7-a__0020__airpunch.npy,1,airpunch,1,0.55595005,1,"[-0.43487, 6.87927, -0.92702, 0.2472, -0.58763, -0.81399, -0.58063, 0.69091, 1.63267, 0.38224, -2.96325, -0.13493, -2.29401, 1.59171, -2.79555, 1.29664, -0.03027, -1.72611, 6.62329, -0.99047, -2.47247, -1.86116]"
44,sub7,supLP120,1,sub7-a__0021__drink.npy,7,drink,7,0.9781436,1,"[-0.42625, 1.51211, -0.97406, 9.37045, -3.01187, -0.29116, 1.07486, 13.17346, -0.95005, -1.04013, -2.46699, -4.17114, -0.72223, 1.35081, -2.54437, -4.66124, -2.00148, -5.66354, 1.36492, -2.99771, -0.56195, 0.91387]"
44,sub7,supLP120,1,sub7-a__0022__drink.npy,7,drink,7,0.9998466,1,"[-1.53051, 2.19478, -0.53126, 6.62848, -2.91222, -0.01981, 0.21567, 15.45043, -1.20725, -0.7996, -1.64595, -3.63623, 0.16014, 0.77908, -2.50154, -2.94369, -2.38505, -3.80977, 2.5215, -3.33881, -0.60484, -0.55776]"
44,sub7,supLP120,1,sub7-a__0023__drink.npy,7,drink,7,0.9998042,1,"[-1.11371, 1.28708, -0.62839, 7.11464, -2.70944, -0.45848, 0.18133, 15.67587, -1.19522, -0.34107, -1.86588, -3.91952, 0.12215, 1.13252, -2.70825, -2.99508, -2.28312, -4.13823, 2.66202, -3.35237, -0.2861, 0.19421]"
44,sub7,supLP120,1,sub7-a__0024__drink.npy,7,drink,7,0.99942493,1,"[-0.95357, 1.03823, -0.72578, 8.37351, -1.81052, -0.37494, 0.45285, 15.8447, -1.82361, 0.02357, -1.35439, -4.17067, 0.05456, 1.11497, -2.64271, -2.94844, -2.54138, -4.84516, 3.5185, -3.63064, -0.49864, -1.02553]"
44,sub7,supLP120,1,sub7-a__0026__brushteeth.npy,3,brushteeth,3,0.9992944,1,"[1.08131, -2.51349, -1.21758, 12.83837, -0.47501, -1.84372, -0.04636, 5.23539, -1.59398, -1.48618, -0.74938, -5.61906, -1.2455, -0.19119, 0.64492, -4.6701, -2.65189, -6.93862, 1.75625, -4.00106, -0.64527, 4.13617]"
44,sub7,supLP120,1,sub7-a__0027__brushteeth.npy,3,brushteeth,3,0.9301602,1,"[1.00601, -3.13156, -0.52235, 9.42526, -1.36039, -1.45236, -0.11356, 6.53286, -2.34447, -0.98368, -0.50904, -4.88028, -0.46436, 0.53147, 0.76691, -4.39735, -2.72931, -5.17514, 1.72326, -3.83962, -0.55166, 5.42451]"
44,sub7,supLP120,1,sub7-a__0028__brushteeth.npy,3,brushteeth,3,0.8938117,1,"[1.13085, -3.25441, -0.68101, 9.3178, -1.31058, -1.69229, 0.06029, 6.9241, -2.32845, -0.7488, -0.5849, -5.11423, -0.70404, 0.75274, 0.71148, -4.35514, -2.68492, -5.4551, 2.38741, -3.71466, -0.31357, 5.6478]"
44,sub7,supLP120,1,sub7-a__0029__brushteeth.npy,3,brushteeth,3,0.8517002,1,"[1.66282, -3.54944, -0.5348, 8.6522, -1.38159, -1.57485, 0.08316, 6.23313, -2.19124, -0.78383, -1.05299, -4.62806, -0.8721, 0.32813, 0.77575, -4.38654, -2.80214, -5.58952, 1.90624, -3.6827, -0.72994, 6.1473]"
44,sub7,supLP120,1,sub7-a__0030__brushteeth.npy,3,brushteeth,3,0.7706591,1,"[1.94063, -3.71883, -0.62877, 8.39797, -1.27307, -1.8244, 0.126, 4.98335, -2.09613, -1.34956, -1.06312, -4.51066, -0.67272, -0.30189, 1.3719, -3.9782, -3.07764, -5.11986, 1.07485, -3.45378, -0.5172, 7.05281]"
44,sub7,supLP120,1,sub7-a__0031__highfive.npy,8,highfive,18,0.7664093,0,"[-1.86932, 4.48502, -1.4099, 3.26659, -0.70665, -4.10499, -1.10375, -1.99627, 4.02627, -1.91939, -2.30863, -1.69161, -3.54671, 0.6918, -1.87195, -1.43865, -2.13649, -2.0982, 6.36286, -2.22365, -1.47966, -0.00528]"
