seed,subject,method,k,file,true_id,true_label,pred_id,conf,correct,logits
42,sub11,supcon,0,sub11-a__0001__wave.npy,21,wave,21,0.9984811,1,"[1.48166, -1.9269, -0.38692, 6.43544, -2.92335, -6.55837, -0.46725, 0.87059, 0.15995, -1.65652, -2.48324, -0.65826, 0.23843, -0.27517, -0.55031, -0.46732, 2.61187, -0.17208, 2.99186, -4.01522, -4.5506, 12.99759]"
42,sub11,supcon,0,sub11-a__0002__wave.npy,21,wave,21,0.9975707,1,"[2.24726, -1.88469, 0.79095, 4.72153, -3.24361, -5.50903, -0.57906, 0.46563, -1.63408, -1.12659, -2.3406, -0.21845, 1.93463, 0.2694, -1.63483, -0.76302, 2.21482, -1.56626, 1.55034, -4.43727, -2.19523, 11.03414]"
42,sub11,supcon,0,sub11-a__0003__wave.npy,21,wave,21,0.9983633,1,"[1.57124, -2.15112, -0.44379, 5.72999, -2.0384, -6.12652, -0.11552, 1.23531, -0.9034, -1.15838, -2.39359, -0.36683, 0.72876, 0.57351, -1.63863, -0.25544, 2.53016, -0.68717, 2.09761, -4.25155, -4.75819, 12.25858]"
42,sub11,supcon,0,sub11-a__0004__wave.npy,21,wave,21,0.9986553,1,"[2.10583, -1.85342, 0.17151, 5.87295, -2.88252, -6.49334, -0.59514, 0.68803, -0.23695, -1.52079, -2.65194, -0.43938, 0.90243, -0.15638, -0.83711, -0.52804, 2.91071, -0.58654, 2.16659, -4.2662, -4.33074, 12.60475]"
42,sub11,supcon,0,sub11-a__0005__wave.npy,21,wave,21,0.9984884,1,"[1.67342, -2.13645, -0.6197, 6.26692, -3.14191, -6.49092, 0.28281, 1.99109, -0.1571, -1.4742, -2.92852, -0.11057, -0.34008, -0.52086, -0.69682, -0.63796, 3.24191, -0.02293, 3.68946, -3.98213, -5.36172, 12.9106]"
42,sub11,supcon,0,sub11-a__0006__wave.npy,21,wave,21,0.99943846,1,"[1.25629, -2.08347, -1.18298, 6.36333, -2.44146, -6.79515, -0.14135, 1.37918, 0.4624, -1.52514, -2.05002, -0.73559, -0.37924, 0.02163, -0.56675, -0.38142, 2.57976, -0.25183, 3.39289, -4.10697, -5.93394, 13.94281]"
42,sub11,supcon,0,sub11-a__0007__bow.npy,2,bow,11,0.73152286,0,"[3.4358, -2.32481, 5.19965, -3.70581, -2.30676, -5.26515, 0.48595, -4.43528, -4.92321, 0.44544, 1.35592, 6.51878, 1.21108, -0.97966, 1.16508, -0.23162, -2.55145, 0.94578, -3.68716, 1.3349, 2.66258, -0.47538]"
42,sub11,supcon,0,sub11-a__0008__bow.npy,2,bow,11,0.7041092,0,"[2.98043, -2.25755, 5.2762, -3.57863, -2.68468, -5.11653, 0.58811, -4.27161, -4.74472, 0.42001, 1.05732, 6.38029, 1.6609, -0.80248, 0.54695, 0.04922, -2.46695, 0.69735, -3.69876, 0.75087, 2.50625, 0.21758]"
42,sub11,supcon,0,sub11-a__0009__bow.npy,2,bow,11,0.86145663,0,"[2.67814, -2.20932, 4.83379, -3.60734, -2.4887, -5.54048, 1.57143, -4.58655, -4.74113, 0.22675, 0.85826, 7.0224, 1.63879, -0.72893, 0.81316, -0.04117, -2.93717, 1.07461, -3.84459, 1.23107, 2.74331, -0.45601]"
42,sub11,supcon,0,sub11-a__0010__bow.npy,2,bow,11,0.8930299,0,"[2.34248, -2.20978, 4.83572, -3.47519, -2.42151, -5.31464, 1.60357, -4.31714, -4.57234, 0.33038, 0.62589, 7.23321, 1.67074, -0.86887, 0.70229, 0.08906, -2.32634, 0.92397, -4.00685, 0.85739, 1.85808, -0.24581]"
42,sub11,supcon,0,sub11-a__0011__bow.npy,2,bow,11,0.88739717,0,"[2.26211, -2.45591, 4.0639, -3.39119, -2.23973, -5.27433, 1.2827, -4.35199, -4.74777, 1.1758, 0.33015, 6.99925, 2.79835, -0.81274, -0.14033, 0.00036, -2.31133, 0.28141, -4.09934, 0.53193, 3.67902, 0.24084]"
