seed,subject,method,k,file,true_id,true_label,pred_id,conf,correct,logits
42,sub7,scratch,1,sub7-a__0001__wave.npy,21,wave,21,0.6131038,1,"[-1.43439, 10.67662, -4.92378, 16.46264, -3.15238, -8.32127, -1.48382, 5.10108, 13.21012, -8.53598, -2.36718, -9.44937, -5.55761, 7.32194, -3.23379, -1.67633, -6.35035, 8.43673, 4.51685, -4.47927, -1.29809, 16.96436]"
42,sub7,scratch,1,sub7-a__0002__wave.npy,21,wave,21,0.55964535,1,"[-1.86267, 10.12272, -5.35353, 16.50493, -3.15295, -7.7208, -1.97674, 6.20765, 13.05981, -8.37286, -2.24662, -9.66214, -5.26602, 6.77752, -3.03146, -1.89709, -6.22404, 8.03068, 4.51271, -4.59009, -0.73804, 16.77799]"
42,sub7,scratch,1,sub7-a__0003__wave.npy,21,wave,21,0.50932175,1,"[-1.80975, 10.46034, -5.18654, 16.66099, -3.28611, -6.86159, -2.46871, 7.25068, 12.63725, -8.53381, -2.50641, -9.65009, -5.3902, 6.95239, -2.89137, -2.65379, -5.71443, 7.23453, 4.11327, -4.78598, -0.60642, 16.71822]"
42,sub7,scratch,1,sub7-a__0004__wave.npy,21,wave,3,0.53900445,0,"[-1.80956, 10.39552, -5.35664, 16.58916, -3.30065, -7.11921, -2.01269, 7.0281, 12.67137, -8.42663, -2.44042, -9.46586, -5.3217, 6.85965, -2.85849, -2.69156, -5.60896, 7.17962, 4.33145, -4.70266, -0.91941, 16.4066]"
42,sub7,scratch,1,sub7-a__0005__wave.npy,21,wave,3,0.52442074,0,"[-1.89229, 10.29298, -5.41713, 16.62869, -3.26724, -7.27369, -1.87728, 6.93818, 12.77309, -8.38609, -2.41933, -9.41419, -5.24636, 6.78274, -2.89202, -2.5672, -5.61788, 7.25881, 4.35069, -4.7081, -0.96837, 16.50509]"
42,sub7,scratch,1,sub7-a__0006__bow.npy,2,bow,2,0.99486154,1,"[2.87244, 2.29824, 13.09162, -6.2504, -10.59728, 1.43435, 3.75995, -7.26586, -1.76684, -5.63613, -0.44955, 6.98693, 4.52985, -4.21373, 6.93544, -3.98467, -8.34421, -4.11573, 0.82582, 5.38481, 1.61921, -6.83072]"
42,sub7,scratch,1,sub7-a__0007__bow.npy,2,bow,2,0.996808,1,"[2.56372, 2.28124, 13.43531, -5.80106, -9.81905, 1.3374, 4.17688, -7.66779, -2.48232, -5.8025, -1.5371, 7.01619, 3.97197, -3.66816, 6.61088, -3.09638, -8.06581, -3.2411, 0.62491, 5.19727, 1.35229, -6.92831]"
42,sub7,scratch,1,sub7-a__0008__bow.npy,2,bow,2,0.99554104,1,"[2.49148, 2.0015, 13.60586, -6.04677, -9.92283, 1.17234, 4.83537, -7.87493, -2.85663, -5.51227, -1.5857, 7.73303, 4.29109, -3.78647, 6.83109, -3.40709, -7.65541, -3.55345, 0.52596, 5.28154, 0.97943, -7.38885]"
42,sub7,scratch,1,sub7-a__0009__bow.npy,2,bow,2,0.995846,1,"[2.60402, 2.27449, 13.50445, -5.931, -9.95458, 1.10582, 4.82891, -7.84041, -2.54126, -5.74803, -1.64475, 7.52255, 4.13854, -3.69938, 6.678, -3.44619, -7.82236, -3.41405, 0.68377, 5.26349, 0.97523, -7.12991]"
42,sub7,scratch,1,sub7-a__0010__bow.npy,2,bow,2,0.9965659,1,"[2.58808, 2.22871, 13.70406, -5.80251, -9.56163, 1.34695, 4.79812, -8.05775, -3.21621, -5.51164, -1.93932, 7.57257, 3.79747, -3.43026, 6.64105, -3.0313, -7.48916, -3.29692, 0.45794, 5.17185, 0.7411, -7.55791]"
42,sub7,scratch,1,sub7-a__0011__crossarms.npy,5,crossarms,5,0.99978465,1,"[0.51314, 9.4599, 1.62853, 1.15768, 0.08522, 22.36744, -9.05313, 13.91305, -3.1479, -5.54581, -6.24141, -5.88432, -8.22049, 0.76258, -1.17444, -4.3298, 3.0251, -5.60641, -0.15919, -2.79508, 2.25658, -0.2024]"
42,sub7,scratch,1,sub7-a__0012__crossarms.npy,5,crossarms,5,0.9996729,1,"[0.43632, 9.33309, 1.58105, 1.1087, -0.13014, 22.129, -9.49987, 14.09585, -2.59889, -5.80915, -5.96568, -6.01414, -7.77645, 0.57502, -1.29909, -4.2874, 2.58145, -5.25327, -0.15711, -2.87988, 2.78748, 0.50687]"
42,sub7,scratch,1,sub7-a__0013__crossarms.npy,5,crossarms,5,0.99976736,1,"[0.40347, 8.71559, 1.4327, 0.98611, 0.06409, 22.39005, -9.324, 14.01913, -3.47124, -5.38271, -5.81526, -5.86621, -7.77461, 0.62641, -1.09835, -4.38435, 2.86336, -5.43972, -0.19631, -2.69782, 2.72117, -0.51979]"
42,sub7,scratch,1,sub7-a__0014__crossarms.npy,5,crossarms,5,0.9997899,1,"[0.51218, 8.39893, 1.47854, -0.03584, -0.31884, 22.23178, -8.97628, 13.75944, -3.38712, -5.21881, -5.51715, -5.28223, -7.22106, 0.16298, -0.75939, -4.56195, 2.86397, -5.71294, 0.00901, -2.33465, 2.62604, -1.02811]"
42,sub7,scratch,1,sub7-a__0015__crossarms.npy,5,crossarms,5,0.9997557,1,"[0.46326, 8.58478, 1.39606, 0.58189, -0.14911, 22.27757, -9.00794, 13.95661, -3.69528, -5.23113, -5.646, -5.53502, -7.5524, 0.54767, -0.78463, -4.68543, 3.03977, -5.79757, -0.07305, -2.48724, 2.52462, -1.16394]"
