seed,subject,method,k,file,true_id,true_label,pred_id,conf,correct,logits
42,sub8,supLP120,1,sub8-a__0001__wave.npy,21,wave,8,0.9990007,0,"[6.55656, 3.75707, 0.65372, -0.79822, -17.11917, 1.43139, -7.23308, -4.58917, 14.81912, -7.18917, 6.80242, -8.37448, 3.33542, -11.10765, 6.87294, -12.80034, -13.5448, -4.27706, -10.84489, -2.30192, -5.34664, 4.40427]"
42,sub8,supLP120,1,sub8-a__0002__wave.npy,21,wave,8,0.9976023,0,"[5.42055, 4.6833, -0.99086, -0.19664, -15.02367, 1.14897, -6.59955, -1.96789, 13.58517, -6.12144, 3.5606, -7.67859, 3.78935, -10.23048, 4.95847, -11.87816, -11.97374, -5.07651, -10.38588, -3.20077, -5.60739, 7.20681]"
42,sub8,supLP120,1,sub8-a__0003__wave.npy,21,wave,8,0.9980788,0,"[4.59017, 5.32828, -1.47251, -0.2546, -14.40106, 0.95655, -6.29945, -1.6423, 13.89545, -5.70113, 3.10873, -8.04403, 3.0001, -10.8729, 5.54305, -11.72982, -11.43505, -5.05543, -9.80844, -3.35775, -5.99442, 7.29882]"
42,sub8,supLP120,1,sub8-a__0004__wave.npy,21,wave,8,0.99857724,0,"[5.75671, 4.63117, -0.59705, -0.23519, -15.60745, 0.8548, -6.31905, -2.84343, 13.91195, -6.29678, 4.36409, -8.19988, 3.28254, -10.46028, 5.72245, -12.04697, -12.53453, -4.89823, -10.32365, -3.15905, -5.64442, 6.60043]"
42,sub8,supLP120,1,sub8-a__0005__wave.npy,21,wave,8,0.99690944,0,"[4.70592, 5.41334, -1.42866, 0.22553, -14.20918, 0.2804, -5.97245, -1.7731, 13.55361, -5.5706, 3.09002, -8.20367, 2.70451, -10.62974, 5.29298, -11.57338, -11.56547, -5.0439, -9.79409, -3.85655, -6.09157, 7.50212]"
42,sub8,supLP120,1,sub8-a__0006__wave.npy,21,wave,8,0.9829444,0,"[3.02888, 5.56835, -2.32341, 0.2781, -12.35277, 0.21152, -6.35982, -0.66259, 13.79237, -4.73545, 1.771, -7.91301, 1.67638, -10.60873, 5.4659, -11.34009, -9.92098, -4.82827, -9.39449, -3.78222, -6.36522, 9.70632]"
42,sub8,supLP120,1,sub8-a__0008__bow.npy,2,bow,2,0.88926405,1,"[3.44755, -2.40572, 12.3577, -5.71923, -14.87814, 6.27892, -0.49772, -3.19699, 5.19502, -5.32446, 2.65565, 6.84805, 6.03813, -11.40804, 10.19842, -10.49427, -2.18192, -0.88237, -1.25645, -2.63427, -7.25184, -6.26597]"
42,sub8,supLP120,1,sub8-a__0009__bow.npy,2,bow,2,0.9800742,1,"[4.4475, -2.79643, 14.03528, -5.66449, -15.82663, 5.67129, -0.52138, -3.5944, 5.71197, -5.73363, 4.51361, 6.31174, 7.10318, -11.50873, 10.03409, -10.50636, -4.12375, -0.84861, -2.64864, -2.72278, -7.60938, -6.37837]"
42,sub8,supLP120,1,sub8-a__0010__bow.npy,2,bow,2,0.9778692,1,"[4.83808, -4.60299, 12.84795, -7.07628, -12.5598, 2.59906, 0.87702, -1.41365, 1.75375, -2.01168, 1.7672, 7.82638, 8.68422, -8.74283, 3.44209, -6.97909, -4.74023, -2.72003, -4.2834, -3.598, -5.44107, -2.92809]"
42,sub8,supLP120,1,sub8-a__0011__bow.npy,2,bow,2,0.98222864,1,"[3.16237, -4.18686, 13.66945, -6.47824, -12.987, 4.39622, 0.38694, -1.83561, 2.45493, -4.27104, 2.23909, 9.34896, 8.16247, -9.24766, 6.2393, -8.317, -2.41148, -1.36902, -3.6974, -2.81412, -6.44425, -4.00287]"
