seed,subject,method,k,file,true_id,true_label,pred_id,conf,correct,logits
42,sub8,supMAE,1,sub8-a__0001__wave.npy,21,wave,21,0.99588364,1,"[-0.83172, 3.50126, 3.21768, -0.66732, -10.94242, -4.09852, -8.2945, 0.86255, 9.61528, -5.19316, -1.69539, -4.21032, 6.49428, -6.16065, -6.21699, -0.84211, -6.28235, -2.37241, -0.32245, -9.95516, -6.29095, 15.15112]"
42,sub8,supMAE,1,sub8-a__0002__wave.npy,21,wave,21,0.99785346,1,"[-1.25403, 3.18302, 2.83737, 0.03567, -10.42615, -4.10685, -8.69118, 1.37456, 9.24787, -5.21919, -1.92423, -4.74855, 6.222, -5.58493, -6.28099, -0.89696, -5.90429, -2.70497, -0.72393, -9.91965, -5.67142, 15.44138]"
42,sub8,supMAE,1,sub8-a__0003__wave.npy,21,wave,21,0.9974443,1,"[-1.40405, 3.74838, 2.8153, -0.07307, -10.61343, -3.94058, -8.67066, 1.34009, 9.32419, -5.20417, -1.69536, -4.86825, 6.01562, -5.63912, -5.84265, -1.31925, -6.02288, -2.95637, -0.72558, -9.9123, -6.25488, 15.33255]"
42,sub8,supMAE,1,sub8-a__0004__wave.npy,21,wave,21,0.99849665,1,"[-0.98545, 2.90189, 2.95203, 0.38704, -10.39955, -4.47822, -8.58855, 0.66852, 8.21271, -5.24768, -1.38858, -5.74289, 6.29295, -4.79679, -7.1505, -0.60781, -6.92148, -2.69401, -0.56603, -9.46995, -4.27242, 14.85814]"
42,sub8,supMAE,1,sub8-a__0005__wave.npy,21,wave,21,0.99880517,1,"[-1.01151, 3.23623, 2.79948, 0.75535, -10.30397, -4.25365, -8.89269, 0.67329, 7.90219, -5.13757, -1.11963, -6.15604, 5.93718, -4.35964, -7.01634, -1.10095, -7.05929, -2.88678, -0.78469, -9.666, -4.34999, 14.77723]"
42,sub8,supMAE,1,sub8-a__0006__wave.npy,21,wave,21,0.99943894,1,"[-1.51455, 3.96502, 2.45032, 0.32954, -9.88253, -3.85091, -9.2052, 1.59138, 8.68604, -4.78309, -1.69153, -5.52947, 5.13981, -4.80424, -5.73667, -1.91285, -5.85126, -3.0008, -0.99745, -10.37053, -6.24994, 16.21119]"
42,sub8,supMAE,1,sub8-a__0008__bow.npy,2,bow,2,0.9641262,1,"[7.71459, 7.71093, 12.48988, -3.98613, -11.18657, 2.69868, 1.60075, -2.12654, 1.5453, -2.97282, -0.16935, 8.27334, 6.84101, -4.12355, 6.27515, -8.75897, -1.8542, -7.91298, -4.64096, -9.70948, -12.09007, -2.00295]"
42,sub8,supMAE,1,sub8-a__0009__bow.npy,2,bow,2,0.98044074,1,"[7.04436, 7.48873, 12.76123, -3.6299, -11.35857, 2.08556, 0.85341, -1.79166, 1.26712, -3.34046, -0.16766, 7.34147, 7.76356, -3.71441, 4.65666, -8.34659, -2.38548, -7.8961, -4.82734, -9.98107, -11.35258, -0.87326]"
42,sub8,supMAE,1,sub8-a__0010__bow.npy,2,bow,2,0.9614986,1,"[5.27569, 6.59391, 12.43293, -3.20505, -9.31376, 0.85037, 1.72213, 0.18528, -1.70457, -3.54039, -1.73009, 6.23994, 9.0584, -0.86257, 1.91029, -7.50495, -2.16264, -7.3109, -4.97787, -11.21759, -9.9056, 0.5723]"
42,sub8,supMAE,1,sub8-a__0011__bow.npy,2,bow,2,0.936417,1,"[5.77121, 6.79946, 11.87258, -4.37125, -9.46304, 1.77522, 1.84286, 0.01928, 0.10255, -2.91823, -1.77082, 8.37154, 8.31326, -2.96848, 4.55091, -8.00424, -0.22066, -7.75434, -5.08241, -10.43836, -11.36614, -0.36087]"
42,sub8,supMAE,1,sub8-a__0012__crossarms.npy,5,crossarms,3,0.92345285,0,"[-4.18994, 0.60107, -5.13449, 7.0963, -3.28266, 2.63694, -6.50546, 3.97635, -0.73019, -4.41174, -2.26583, -6.07689, 2.83587, 1.98464, -5.0348, -3.8472, -3.14423, -4.34818, 0.48046, -6.47659, -1.071, 1.37348]"
42,sub8,supMAE,1,sub8-a__0013__crossarms.npy,5,crossarms,3,0.5840752,0,"[-5.20818, 0.2879, -7.07979, 6.31767, -1.82299, 5.0742, -6.05136, 5.39081, -0.47971, -3.21166, -3.22743, -4.2617, 1.7772, 1.03024, -3.27296, -3.44393, -0.82464, -3.56961, 1.12683, -6.49511, -3.25859, -0.11718]"
42,sub8,supMAE,1,sub8-a__0014__crossarms.npy,5,crossarms,3,0.36406466,0,"[-5.19571, 0.58457, -7.7619, 5.655, -1.62646, 5.617, -7.19517, 5.34919, 0.78531, -2.49541, -2.95146, -3.88588, 1.29618, -0.10711, -2.45745, -3.58298, -0.13649, -3.38867, 0.62128, -6.50158, -4.4528, 0.58019]"
42,sub8,supMAE,1,sub8-a__0015__crossarms.npy,5,crossarms,5,0.45347765,1,"[-5.28195, 1.19146, -7.58011, 5.45383, -1.76185, 6.12954, -7.64537, 5.71985, 1.14145, -2.34252, -2.95158, -3.66992, 1.02233, -0.22372, -2.07158, -3.92808, -0.05353, -3.49959, 0.1542, -7.08177, -5.30308, 0.82811]"
42,sub8,supMAE,1,sub8-a__0016__crossarms.npy,5,crossarms,5,0.5451403,1,"[-3.90336, 1.50712, -7.30823, 4.6982, -2.69837, 5.47761, -7.3498, 4.2049, 2.27532, -2.53188, -2.2998, -3.33748, 1.19594, -1.17236, -0.63018, -4.48937, -0.58271, -3.67737, 0.25532, -6.44749, -5.58563, 0.83124]"
42,sub8,supMAE,1,sub8-a__0019__airpunch.npy,1,airpunch,8,0.5272347,0,"[4.75886, 8.63926, 2.47814, 2.72862, -11.26947, -3.12114, -5.90248, -5.24593, 8.79547, -5.83083, 3.28324, -8.4307, 0.21631, -3.35353, -2.24227, -5.87973, -10.41112, -8.57589, 1.23679, -3.54248, -5.2818, 4.57896]"
42,sub8,supMAE,1,sub8-a__0020__airpunch.npy,1,airpunch,1,0.7095064,1,"[4.82338, 9.03314, 3.28633, 2.65391, -11.94012, -2.24732, -5.58262, -5.20894, 8.06379, -5.70912, 3.62939, -7.87628, 0.86675, -3.29179, -1.99203, -6.56005, -10.8415, -8.63988, 0.93919, -4.58626, -6.17288, 3.7803]"
42,sub8,supMAE,1,sub8-a__0021__airpunch.npy,1,airpunch,1,0.8470502,1,"[4.44796, 9.50764, 3.39434, 2.68156, -11.54489, -1.66737, -5.97525, -4.33217, 7.68379, -5.58807, 3.02231, -7.42244, 0.95278, -2.93631, -1.7917, -7.2957, -10.21947, -8.49832, 0.45646, -6.06124, -7.12982, 4.63487]"
42,sub8,supMAE,1,sub8-a__0022__airpunch.npy,1,airpunch,1,0.93345404,1,"[4.26047, 9.28225, 2.81088, 2.97811, -10.4357, -2.51553, -5.12014, -3.80395, 6.25623, -5.76599, 2.23569, -7.81225, 0.97626, -1.60186, -2.79313, -7.30601, -10.01573, -8.5739, 1.03764, -6.32109, -6.0938, 4.80792]"
42,sub8,supMAE,1,sub8-a__0023__drink.npy,7,drink,7,0.8392695,1,"[-5.69498, 2.55297, -3.41321, 8.52159, -7.07699, 1.2194, -6.44957, 10.41999, 4.38233, -5.91449, -5.75688, -6.05167, 1.06782, -1.52155, -4.11304, -4.45576, -4.08276, -3.93049, 2.27824, -10.13667, -5.28279, 7.16145]"
42,sub8,supMAE,1,sub8-a__0024__drink.npy,7,drink,7,0.9569363,1,"[-5.82045, 2.52868, -4.32486, 7.79782, -7.1766, 2.63962, -5.65464, 11.0262, 4.90461, -5.11995, -5.81609, -4.81689, 0.38343, -2.52195, -2.57374, -4.54419, -3.55506, -3.84144, 3.032, -10.0487, -6.72144, 4.98888]"
42,sub8,supMAE,1,sub8-a__0026__drink.npy,7,drink,7,0.9910868,1,"[-6.63754, 2.6075, -4.90834, 7.6031, -5.95538, 3.25893, -5.39003, 12.45545, 4.10753, -4.512, -6.54757, -4.26543, -0.26521, -1.95053, -2.17383, -4.63989, -2.41493, -3.29785, 2.82586, -10.72589, -7.42425, 5.22183]"
42,sub8,supMAE,1,sub8-a__0027__drink.npy,7,drink,7,0.985044,1,"[-6.49893, 2.42144, -4.93062, 7.59998, -6.30245, 3.07726, -5.6007, 11.9218, 4.34761, -4.57441, -6.15854, -4.69672, -0.09079, -2.18853, -2.47423, -4.34046, -2.93596, -3.50008, 2.92319, -10.28, -6.97606, 5.05618]"
42,sub8,supMAE,1,sub8-a__0028__brushteeth.npy,3,brushteeth,7,0.69389737,0,"[-5.23288, 2.95755, -3.40588, 10.15586, -6.04784, 2.604, -5.00888, 10.97806, 1.14547, -5.26584, -5.66499, -6.52662, -0.83624, 1.0485, -3.38189, -5.50483, -4.92946, -3.76834, 2.86233, -10.54486, -5.06713, 3.71331]"
42,sub8,supMAE,1,sub8-a__0029__brushteeth.npy,3,brushteeth,7,0.6354436,0,"[-5.93246, 1.56323, -4.43505, 11.1493, -5.32808, 2.37359, -4.3402, 11.70645, 0.14654, -5.40853, -6.49488, -6.99711, -0.9769, 1.52084, -4.4757, -4.03021, -5.13783, -2.89399, 4.26953, -9.6871, -2.96374, 2.43435]"
42,sub8,supMAE,1,sub8-a__0030__brushteeth.npy,3,brushteeth,3,0.6789425,1,"[-4.97304, 2.53107, -3.38965, 10.68839, -7.06746, 2.31074, -5.4934, 9.93457, 2.35162, -5.67507, -5.20345, -7.06887, -0.62933, -0.06965, -3.77825, -4.9821, -5.65172, -3.83634, 3.49178, -9.45043, -4.27035, 3.52476]"
42,sub8,supMAE,1,sub8-a__0031__brushteeth.npy,3,brushteeth,7,0.8025269,0,"[-5.55004, 2.64845, -4.08727, 9.98083, -5.89694, 3.39752, -4.63392, 11.38734, 1.53763, -4.77544, -5.78962, -6.05081, -1.42146, 0.35179, -2.74456, -5.13737, -4.46324, -3.72655, 3.44701, -10.11316, -5.48181, 2.49589]"
42,sub8,supMAE,1,sub8-a__0032__brushteeth.npy,3,brushteeth,7,0.5272048,0,"[-4.94899, 2.57047, -3.82898, 9.9244, -7.46248, 2.85559, -4.99341, 10.03957, 3.42392, -5.39221, -5.24981, -6.21728, -0.88636, -1.20037, -2.68227, -4.99901, -5.24153, -4.07313, 3.94878, -9.22832, -5.20818, 2.64524]"
42,sub8,supMAE,1,sub8-a__0034__highfive.npy,8,highfive,8,0.6041897,1,"[-1.39494, 5.81618, 0.36383, 2.37003, -11.69378, -2.5249, -7.08137, -0.35829, 9.11948, -6.0124, 0.08679, -7.46306, 3.87968, -5.09313, -4.11651, -3.68158, -8.17715, -6.28202, 1.32302, -6.59852, -5.37527, 8.62693]"
42,sub8,supMAE,1,sub8-a__0035__highfive.npy,8,highfive,8,0.58312666,1,"[-0.66779, 6.88668, 0.75664, 2.15617, -11.95723, -2.26728, -6.56526, -0.91814, 8.97484, -5.79722, 0.48883, -7.42361, 2.9296, -4.76345, -2.80705, -4.95466, -8.47957, -6.73035, 1.38642, -7.20439, -6.36777, 8.44108]"
42,sub8,supMAE,1,sub8-a__0036__highfive.npy,8,highfive,8,0.7631646,1,"[-0.10721, 7.5267, 0.42974, 2.29738, -12.12949, -2.01081, -5.34576, -1.63191, 9.0424, -5.99093, 0.70396, -7.2804, 2.28924, -4.89926, -1.68296, -5.83113, -8.7383, -7.46837, 2.30179, -6.40054, -6.88062, 6.59551]"
42,sub8,supMAE,1,sub8-a__0037__highfive.npy,8,highfive,8,0.58228445,1,"[-0.60489, 6.94735, 0.69825, 2.11519, -12.04532, -2.62224, -6.0196, -1.00119, 8.94605, -6.00132, 0.35012, -7.42599, 2.97715, -4.7307, -2.78725, -5.0006, -8.60298, -6.84608, 1.80533, -7.04011, -6.36377, 8.39587]"
42,sub8,supMAE,1,sub8-a__0038__wave.npy,21,wave,21,0.99394083,1,"[-0.41675, 4.93678, 2.79166, 3.08583, -11.12167, -3.1056, -9.20214, 0.67529, 8.23205, -6.14797, -0.61128, -7.53009, 4.02139, -3.86544, -5.54407, -3.44462, -7.97794, -4.00512, -0.54677, -8.6881, -4.92649, 13.39333]"
