test_subject,method,k,calibration_mode,calib_samples,eval_samples,final_acc,final_macro_f1,best_diag_acc,best_diag_macro_f1,best_diag_epoch,base_ckpt,pretrained_ckpt,calibration_ckpt
sub10,scratch,0,none,0,500,57.800000,0.514347,57.800000,0.514347,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub10_scratch_baseFull_bestVal.pth,,
sub10,scratch,1,head_only,22,478,79.707113,0.753946,79.707113,0.753946,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub10_scratch_baseFull_bestVal.pth,,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub10_scratch_k1_head_only_last.pth
sub10,scratch,3,head_only,66,434,95.391705,0.949321,95.391705,0.949321,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub10_scratch_baseFull_bestVal.pth,,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub10_scratch_k3_head_only_last.pth
sub10,supLP120,0,none,0,500,57.000000,0.473427,57.000000,0.473427,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub10_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,
sub10,supLP120,1,head_only,22,478,78.451883,0.771375,80.753138,0.750142,9,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub10_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub10_supLP120_k1_head_only_last.pth
sub10,supLP120,3,head_only,66,434,94.930876,0.944726,94.930876,0.944726,26,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub10_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub10_supLP120_k3_head_only_last.pth
sub10,supMAE,0,none,0,500,54.000000,0.472715,54.000000,0.472715,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub10_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,
sub10,supMAE,1,head_only,22,478,81.380753,0.796902,81.380753,0.796902,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub10_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub10_supMAE_k1_head_only_last.pth
sub10,supMAE,3,head_only,66,434,94.009217,0.929331,94.009217,0.929331,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub10_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub10_supMAE_k3_head_only_last.pth
sub10,mae,0,none,0,500,55.600000,0.476185,55.600000,0.476185,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub10_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,
sub10,mae,1,head_only,22,478,80.753138,0.795026,80.753138,0.795026,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub10_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub10_mae_k1_head_only_last.pth
sub10,mae,3,head_only,66,434,93.317972,0.931023,93.778802,0.933151,25,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub10_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub10_mae_k3_head_only_last.pth
sub10,supcon,0,none,0,500,51.200000,0.410844,51.200000,0.410844,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub10_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,
sub10,supcon,1,head_only,22,478,82.426778,0.807847,82.426778,0.807855,28,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub10_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub10_supcon_k1_head_only_last.pth
sub10,supcon,3,head_only,66,434,94.470046,0.937400,94.470046,0.937400,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub10_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub10_supcon_k3_head_only_last.pth
sub11,scratch,0,none,0,533,49.155722,0.431401,49.155722,0.431401,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub11_scratch_baseFull_bestVal.pth,,
sub11,scratch,1,head_only,22,511,76.516634,0.764134,76.516634,0.764134,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub11_scratch_baseFull_bestVal.pth,,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub11_scratch_k1_head_only_last.pth
sub11,scratch,3,head_only,66,467,84.582441,0.849283,84.582441,0.849561,28,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub11_scratch_baseFull_bestVal.pth,,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub11_scratch_k3_head_only_last.pth
sub11,supLP120,0,none,0,533,53.470919,0.459977,53.470919,0.459977,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub11_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,
sub11,supLP120,1,head_only,22,511,72.015656,0.731490,74.951076,0.750681,10,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub11_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub11_supLP120_k1_head_only_last.pth
sub11,supLP120,3,head_only,66,467,85.653105,0.861825,87.152034,0.864393,12,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub11_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub11_supLP120_k3_head_only_last.pth
sub11,supMAE,0,none,0,533,51.407129,0.451061,51.407129,0.451061,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub11_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,
sub11,supMAE,1,head_only,22,511,75.342466,0.761542,76.516634,0.772454,23,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub11_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub11_supMAE_k1_head_only_last.pth
sub11,supMAE,3,head_only,66,467,85.224839,0.855804,86.295503,0.863220,25,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub11_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub11_supMAE_k3_head_only_last.pth
sub11,mae,0,none,0,533,44.652908,0.376279,44.652908,0.376279,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub11_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,
sub11,mae,1,head_only,22,511,69.863014,0.701845,70.254403,0.690965,16,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub11_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub11_mae_k1_head_only_last.pth
sub11,mae,3,head_only,66,467,81.798715,0.831630,81.798715,0.831630,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub11_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub11_mae_k3_head_only_last.pth
sub11,supcon,0,none,0,533,51.782364,0.446995,51.782364,0.446995,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub11_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,
sub11,supcon,1,head_only,22,511,79.452055,0.806574,79.452055,0.805958,24,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub11_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub11_supcon_k1_head_only_last.pth
sub11,supcon,3,head_only,66,467,85.653105,0.864175,87.366167,0.876118,15,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub11_supcon_baseFull_bestVal.pth,trained_models/ContrastiveNTU/supcon_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub11_supcon_k3_head_only_last.pth
sub7,scratch,0,none,0,546,50.183150,0.399865,50.183150,0.399865,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub7_scratch_baseFull_bestVal.pth,,
sub7,scratch,1,head_only,22,524,79.389313,0.802421,80.725191,0.818296,22,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub7_scratch_baseFull_bestVal.pth,,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub7_scratch_k1_head_only_last.pth
sub7,scratch,3,head_only,66,480,84.583333,0.847741,84.583333,0.847741,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub7_scratch_baseFull_bestVal.pth,,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub7_scratch_k3_head_only_last.pth
sub7,supLP120,0,none,0,546,56.776557,0.477813,56.776557,0.477813,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub7_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,
sub7,supLP120,1,head_only,22,524,86.068702,0.859054,86.259542,0.861246,22,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub7_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub7_supLP120_k1_head_only_last.pth
sub7,supLP120,3,head_only,66,480,95.000000,0.950085,95.000000,0.950085,29,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub7_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub7_supLP120_k3_head_only_last.pth
sub7,supMAE,0,none,0,546,55.677656,0.464108,55.677656,0.464108,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub7_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,
sub7,supMAE,1,head_only,22,524,82.442748,0.825601,82.442748,0.823743,29,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub7_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/LOSO-fullTrainCalibrate-v2/models/sub7_supMAE_k1_head_only_last.pth
