epoch,avg_loss
1,0.07647010
2,0.04325746
3,0.03260698
4,0.02567529
5,0.02304041
6,0.02172343
7,0.02064527
8,0.02001686
9,0.01948223
10,0.01906273
11,0.01843010
12,0.01789391
13,0.01760478
14,0.01728993
15,0.01709362
16,0.01697204
17,0.01673336
18,0.01666034
19,0.01649983
20,0.01644872
21,0.01630642
22,0.01628821
23,0.01612122
24,0.01613408
25,0.01602528
26,0.01596683
27,0.01592655
28,0.01591177
29,0.01581776
30,0.01584722
31,0.01577022
32,0.01574413
33,0.01573184
34,0.01569730
35,0.01566746
36,0.01564852
37,0.01574051
38,0.01552684
39,0.01545412
40,0.01544244
41,0.01550614
42,0.01549140
43,0.01540393
44,0.01538271
45,0.01534464
46,0.01530626
47,0.01533014
48,0.01530245
49,0.01538869
50,0.01523467
