target,encoder,layer,cka_linear,cka_rbf
xsens_v2,scratch,proj,0.0032,0.005
xsens_v2,scratch,L0,0.0035,0.0052
xsens_v2,scratch,L1,0.0034,0.0052
xsens_v2,scratch,L2,0.0033,0.0052
czu_skeleton,scratch,proj,0.0046,0.0077
czu_skeleton,scratch,L0,0.0056,0.0086
czu_skeleton,scratch,L1,0.006,0.009
czu_skeleton,scratch,L2,0.006,0.0091
czu_imu_quat,scratch,proj,0.0089,0.0136
czu_imu_quat,scratch,L0,0.0092,0.0143
czu_imu_quat,scratch,L1,0.009,0.0143
czu_imu_quat,scratch,L2,0.0089,0.0141
utd_skeleton,scratch,proj,0.009,0.0147
utd_skeleton,scratch,L0,0.0095,0.015
utd_skeleton,scratch,L1,0.0092,0.015
utd_skeleton,scratch,L2,0.009,0.0149
xsens_v2,supLP120,proj,0.0039,0.0068
xsens_v2,supLP120,L0,0.0128,0.0199
xsens_v2,supLP120,L1,0.0134,0.0202
xsens_v2,supLP120,L2,0.0148,0.0221
czu_skeleton,supLP120,proj,0.0075,0.0117
czu_skeleton,supLP120,L0,0.0236,0.0369
czu_skeleton,supLP120,L1,0.0252,0.038
czu_skeleton,supLP120,L2,0.027,0.0397
czu_imu_quat,supLP120,proj,0.0118,0.0182
czu_imu_quat,supLP120,L0,0.0182,0.0302
czu_imu_quat,supLP120,L1,0.0179,0.0297
czu_imu_quat,supLP120,L2,0.0188,0.0313
utd_skeleton,supLP120,proj,0.013,0.0204
utd_skeleton,supLP120,L0,0.0356,0.0562
utd_skeleton,supLP120,L1,0.0329,0.0518
utd_skeleton,supLP120,L2,0.0343,0.053
xsens_v2,supMAE,proj,0.0034,0.0054
xsens_v2,supMAE,L0,0.0052,0.0079
xsens_v2,supMAE,L1,0.0054,0.008
xsens_v2,supMAE,L2,0.0052,0.0076
czu_skeleton,supMAE,proj,0.0056,0.0088
czu_skeleton,supMAE,L0,0.0109,0.0159
czu_skeleton,supMAE,L1,0.0128,0.0184
czu_skeleton,supMAE,L2,0.0119,0.0171
czu_imu_quat,supMAE,proj,0.0097,0.0149
czu_imu_quat,supMAE,L0,0.0132,0.0202
czu_imu_quat,supMAE,L1,0.013,0.0205
czu_imu_quat,supMAE,L2,0.0122,0.0192
utd_skeleton,supMAE,proj,0.0098,0.0159
utd_skeleton,supMAE,L0,0.0156,0.0244
utd_skeleton,supMAE,L1,0.0189,0.0287
utd_skeleton,supMAE,L2,0.0186,0.0279
xsens_v2,mae,proj,0.0028,0.0047
xsens_v2,mae,L0,0.0044,0.0067
xsens_v2,mae,L1,0.0042,0.0065
xsens_v2,mae,L2,0.0045,0.0066
czu_skeleton,mae,proj,0.0055,0.0089
czu_skeleton,mae,L0,0.0073,0.0111
czu_skeleton,mae,L1,0.0072,0.0112
czu_skeleton,mae,L2,0.0079,0.0117
czu_imu_quat,mae,proj,0.0093,0.0143
czu_imu_quat,mae,L0,0.0117,0.0173
czu_imu_quat,mae,L1,0.0109,0.0169
czu_imu_quat,mae,L2,0.0106,0.0161
utd_skeleton,mae,proj,0.0091,0.0152
utd_skeleton,mae,L0,0.0111,0.0185
utd_skeleton,mae,L1,0.0131,0.0211
utd_skeleton,mae,L2,0.0136,0.0215
xsens_v2,supcon,proj,0.0039,0.0067
xsens_v2,supcon,L0,0.0124,0.019
xsens_v2,supcon,L1,0.0108,0.0169
xsens_v2,supcon,L2,0.0111,0.0174
czu_skeleton,supcon,proj,0.0074,0.0116
czu_skeleton,supcon,L0,0.0224,0.0345
czu_skeleton,supcon,L1,0.0192,0.029
czu_skeleton,supcon,L2,0.0183,0.0278
czu_imu_quat,supcon,proj,0.0118,0.0181
czu_imu_quat,supcon,L0,0.0197,0.0303
czu_imu_quat,supcon,L1,0.0151,0.0252
czu_imu_quat,supcon,L2,0.016,0.0256
utd_skeleton,supcon,proj,0.0134,0.0208
utd_skeleton,supcon,L0,0.0357,0.0547
utd_skeleton,supcon,L1,0.026,0.041
utd_skeleton,supcon,L2,0.025,0.0408
