encoder,layer,cka_linear,cka_rbf
scratch,proj,0.0026,0.0041
scratch,L0,0.0024,0.0038
scratch,L1,0.0024,0.0038
scratch,L2,0.0024,0.0038
supLP120,proj,0.0038,0.0058
supLP120,L0,0.0129,0.0194
supLP120,L1,0.0134,0.02
supLP120,L2,0.0146,0.0216
supMAE,proj,0.003,0.0045
supMAE,L0,0.0044,0.0067
supMAE,L1,0.0046,0.0072
supMAE,L2,0.0044,0.0068
mae,proj,0.0026,0.004
mae,L0,0.0038,0.0056
mae,L1,0.0034,0.005
mae,L2,0.0036,0.0052
supcon,proj,0.0038,0.0059
supcon,L0,0.0121,0.0183
supcon,L1,0.0114,0.0174
supcon,L2,0.0115,0.0175
