method,k,n_clips,acc,ece,temperature,ece_tempscaled
scratch,0,7974,57.111,0.2998,3.373,0.0676
supLP120,0,7974,57.7,0.2652,2.714,0.0295
supMAE,0,7974,56.835,0.3023,3.2,0.0602
mae,0,7974,53.775,0.3335,3.333,0.0728
supcon,0,7974,59.142,0.264,2.706,0.0298
scratch,1,7644,82.274,0.0774,1.93,0.0494
supLP120,1,7644,81.502,0.0954,1.865,0.0282
supMAE,1,7644,82.561,0.0804,1.92,0.052
mae,1,7644,79.108,0.0909,1.918,0.0577
supcon,1,7644,82.614,0.0912,2.004,0.0415
scratch,3,6984,89.304,0.0231,1.41,0.0396
supLP120,3,6984,91.237,0.0192,1.392,0.0291
supMAE,3,6984,91.452,0.0277,1.345,0.0498
mae,3,6984,87.887,0.0196,1.332,0.056
supcon,3,6984,90.994,0.0231,1.459,0.0318
