task_success,mean_time,rejection_rate,corrective_per_mission,false_activation_rate,method,k,tau
0.898,15.564587973273943,0.0,1.1363333333333334,0.05494303564865858,scratch,1,0.0
0.898,15.564587973273943,0.0,1.1363333333333334,0.05494303564865858,scratch,1,0.3
0.9116666666666666,15.529433272394881,0.021920160251824295,1.0386666666666666,0.05108416023520764,scratch,1,0.5
0.9326666666666666,15.644388849177984,0.06551892950391645,0.8973333333333333,0.04116133774347666,scratch,1,0.6
0.9526666666666667,15.961161651504549,0.11998175182481752,0.7516666666666667,0.033443586916574786,scratch,1,0.7
0.9563333333333334,16.367723945625652,0.18466686948585337,0.538,0.027379639838294743,scratch,1,0.8
0.9443333333333334,16.40698905753618,0.2262729535212215,0.30233333333333334,0.023153252480705624,scratch,1,0.85
0.932,17.15343347639485,0.2749294699106972,0.23366666666666666,0.01966188901139287,scratch,1,0.9
0.9146666666666666,17.918731778425656,0.3155862793847149,0.19266666666666668,0.016905549430356485,scratch,1,0.93
0.902,18.84257206208426,0.35726724715338243,0.175,0.015435501653803748,scratch,1,0.95
0.833,20.4921968787515,0.42640138841673975,0.146,0.01396545387725101,scratch,1,0.97
0.6393333333333333,22.922314911366005,0.5320887833330423,0.07833333333333334,0.008820286659316428,scratch,1,0.99
0.993,14.597180261832829,0.0,0.8613333333333333,0.025440705128205128,scratch,3,0.0
0.9893333333333333,14.566711590296496,0.001034993985845758,0.8453333333333334,0.025240384615384616,scratch,3,0.3
0.991,14.56710393541877,0.0127829928216455,0.799,0.02283653846153846,scratch,3,0.5
0.9973333333333333,14.539438502673796,0.04571170549018566,0.6536666666666666,0.019230769230769232,scratch,3,0.6
0.998,14.664662658650634,0.07574822585621721,0.56,0.014022435897435898,scratch,3,0.7
0.997,14.904045469742561,0.12521917007597896,0.3953333333333333,0.010216346153846154,scratch,3,0.8
0.9953333333333333,15.162759544541192,0.16103003087285994,0.28933333333333333,0.008814102564102564,scratch,3,0.85
0.9973333333333333,15.997994652406417,0.2141232559156716,0.24833333333333332,0.008012820512820512,scratch,3,0.9
0.988,16.879217273954115,0.26476045188422526,0.20833333333333334,0.006610576923076923,scratch,3,0.93
0.9533333333333334,18.037062937062938,0.326128220027116,0.17166666666666666,0.006009615384615385,scratch,3,0.95
0.893,19.830533781261664,0.40907957540785067,0.086,0.003605769230769231,scratch,3,0.97
0.698,22.541069723018147,0.5143483665999034,0.091,0.0026041666666666665,scratch,3,0.99
0.8876666666666667,15.465264739016147,0.0,1.0893333333333333,0.05512679162072767,mae,1,0.0
0.8876666666666667,15.465264739016147,0.0,1.0893333333333333,0.0543917677324513,mae,1,0.3
0.9016666666666666,15.404066543438077,0.009185972615402391,1.0443333333333333,0.04557148107313488,mae,1,0.5
0.9003333333333333,15.611255090707145,0.039937177473636974,0.9866666666666667,0.03123851525174568,mae,1,0.6
0.9356666666666666,15.706804417527609,0.08799852678101652,0.8203333333333334,0.02278574053656744,mae,1,0.7
0.9483333333333334,16.170826010544815,0.1453919882034898,0.6913333333333334,0.01617052554208012,mae,1,0.8
0.9373333333333334,16.53058321479374,0.1799772090593989,0.6166666666666667,0.014149209849320103,mae,1,0.85
