method,k,task_success,mean_time,rejection_rate,corrective_per_mission,false_activation_rate
scratch,1,0.932,17.15343347639485,0.2749294699106972,0.23366666666666666,0.01966188901139287
scratch,3,0.9973333333333333,15.997994652406417,0.2141232559156716,0.24833333333333332,0.008012820512820512
mae,1,0.941,17.43145589798087,0.24764897122035304,0.49766666666666665,0.010474090407938258
mae,3,0.9673333333333334,16.4631288766368,0.2626678716294319,0.12733333333333333,0.006810897435897436
supMAE,1,0.9983333333333333,16.08414023372287,0.1857336956521739,0.452,0.019294377067254686
supMAE,3,0.9993333333333333,14.259506337558372,0.13960495480415133,0.10533333333333333,0.005208333333333333
supLP120,1,0.9213333333333333,15.81150506512301,0.16733597945365397,0.458,0.016905549430356485
supLP120,3,0.9796666666666667,13.474310990132699,0.09129918974177752,0.089,0.002003205128205128
supcon,1,0.9986666666666667,14.801068090787718,0.14199503864135102,0.274,0.020764424843807423
supcon,3,0.9936666666666667,13.724253606172425,0.10901342847232545,0.08566666666666667,0.0038060897435897435
