method,k,C_crit,mean_cost,hard_success
scratch,1,2.0,15.822,0.889
mae,1,2.0,15.614,0.8813333333333333
supMAE,1,2.0,14.842333333333332,0.9376666666666666
supLP120,1,2.0,14.993333333333334,0.779
supcon,1,2.0,14.32,0.973
scratch,3,2.0,14.586666666666666,0.9906666666666667
mae,3,2.0,13.383666666666667,0.9726666666666667
supMAE,3,2.0,13.003,0.986
supLP120,3,2.0,12.773,0.954
supcon,3,2.0,13.021666666666667,0.959
scratch,1,5.0,16.167,0.889
mae,1,5.0,15.983,0.8813333333333333
supMAE,1,5.0,15.033333333333333,0.9376666666666666
supLP120,1,5.0,15.706333333333333,0.779
supcon,1,5.0,14.401,0.973
scratch,3,5.0,14.614666666666666,0.9906666666666667
mae,3,5.0,13.465666666666667,0.9726666666666667
supMAE,3,5.0,13.045,0.986
supLP120,3,5.0,12.914,0.954
supcon,3,5.0,13.148666666666667,0.959
scratch,1,10.0,16.742,0.889
mae,1,10.0,16.598,0.8813333333333333
supMAE,1,10.0,15.351666666666667,0.9376666666666666
supLP120,1,10.0,16.894666666666666,0.779
supcon,1,10.0,14.536,0.973
scratch,3,10.0,14.661333333333333,0.9906666666666667
mae,3,10.0,13.602333333333334,0.9726666666666667
supMAE,3,10.0,13.115,0.986
supLP120,3,10.0,13.149,0.954
supcon,3,10.0,13.360333333333333,0.959
scratch,1,20.0,17.892,0.889
mae,1,20.0,17.828,0.8813333333333333
supMAE,1,20.0,15.988333333333333,0.9376666666666666
supLP120,1,20.0,19.271333333333335,0.779
supcon,1,20.0,14.806,0.973
scratch,3,20.0,14.754666666666667,0.9906666666666667
mae,3,20.0,13.875666666666667,0.9726666666666667
supMAE,3,20.0,13.255,0.986
supLP120,3,20.0,13.619,0.954
supcon,3,20.0,13.783666666666667,0.959
scratch,1,50.0,21.342,0.889
mae,1,50.0,21.518,0.8813333333333333
supMAE,1,50.0,17.898333333333333,0.9376666666666666
supLP120,1,50.0,26.401333333333334,0.779
supcon,1,50.0,15.616,0.973
scratch,3,50.0,15.034666666666666,0.9906666666666667
mae,3,50.0,14.695666666666666,0.9726666666666667
supMAE,3,50.0,13.675,0.986
supLP120,3,50.0,15.029,0.954
supcon,3,50.0,15.053666666666667,0.959
scratch,1,1000000.0,115015.592,0.889
mae,1,1000000.0,123015.368,0.8813333333333333
supMAE,1,1000000.0,63681.38166666667,0.9376666666666666
supLP120,1,1000000.0,237681.18466666667,0.779
supcon,1,1000000.0,27014.266,0.973
scratch,3,1000000.0,9347.901333333333,0.9906666666666667
mae,3,1000000.0,27346.662333333334,0.9726666666666667
supMAE,3,1000000.0,14012.975,0.986
supLP120,3,1000000.0,47012.679,0.954
supcon,3,1000000.0,42346.270333333334,0.959
