method,k,tau,false_activation,hard_success,mean_cost,rejection_rate,corrective_per_mission
scratch,1,0.0,0.05494303564865858,0.889,17.892,0.0,1.1973333333333334
mae,1,0.0,0.05512679162072767,0.8813333333333333,17.828,0.0,1.1226666666666667
supMAE,1,0.0,0.04299889746416759,0.9376666666666666,15.988333333333333,0.0,0.905
supLP120,1,0.0,0.046857772877618525,0.779,19.271333333333335,0.0,0.8393333333333334
supcon,1,0.0,0.05328923190003675,0.973,14.806,0.0,0.7553333333333333
scratch,1,0.3,0.05494303564865858,0.889,17.892,0.0,1.1973333333333334
mae,1,0.3,0.0543917677324513,0.8813333333333333,17.828,0.0,1.1226666666666667
supMAE,1,0.3,0.042080117603822124,0.9376666666666666,15.988333333333333,0.0,0.905
supLP120,1,0.3,0.046857772877618525,0.779,19.271333333333335,0.0,0.8393333333333334
supcon,1,0.3,0.05292171995589857,0.9733333333333334,14.870333333333333,0.000444247001332741,0.775
scratch,1,0.5,0.05108416023520764,0.9263333333333333,16.979333333333333,0.022004889975550123,1.0653333333333332
mae,1,0.5,0.04557148107313488,0.885,17.817666666666668,0.009628610729023384,1.1003333333333334
supMAE,1,0.5,0.036751194413818446,0.923,16.282,0.017279502088281058,0.8303333333333334
supLP120,1,0.5,0.040793825799338476,0.7986666666666666,18.863,0.02899527983816588,0.7126666666666667
supcon,1,0.5,0.04759279676589489,0.985,14.487,0.013157894736842105,0.6756666666666666
scratch,1,0.6,0.04116133774347666,0.929,17.058333333333334,0.06410856340664482,0.9343333333333333
mae,1,0.6,0.03123851525174568,0.9003333333333333,17.520333333333333,0.04099736274274754,0.978
supMAE,1,0.6,0.03234105108416024,0.947,15.883,0.04681211607710231,0.7423333333333333
supLP120,1,0.6,0.03491363469312753,0.818,18.298,0.05315483548565267,0.5703333333333334
supcon,1,0.6,0.03858875413450937,0.9886666666666667,14.394333333333334,0.032856029874002636,0.5866666666666667
scratch,1,0.7,0.033443586916574786,0.953,16.796,0.11608721272834413,0.76
mae,1,0.7,0.02278574053656744,0.9383333333333334,16.975666666666665,0.08826136507534507,0.8513333333333334
supMAE,1,0.7,0.02701212789415656,0.9506666666666667,15.997333333333334,0.07672968882275981,0.6723333333333333
supLP120,1,0.7,0.0284821756707093,0.847,17.841,0.08001328869694105,0.5346666666666666
supcon,1,0.7,0.03325983094450569,0.9906666666666667,14.323,0.05803548066356167,0.4656666666666667
scratch,1,0.8,0.027379639838294743,0.9526666666666667,17.223,0.18287363111737173,0.5483333333333333
mae,1,0.8,0.01617052554208012,0.944,17.276333333333334,0.14297286350749291,0.724
supMAE,1,0.8,0.02296949650863653,0.975,15.756,0.1178416525766375,0.551
supLP120,1,0.8,0.024990812201396546,0.883,17.324333333333332,0.10970422395884855,0.4663333333333333
supcon,1,0.8,0.02682837192208747,0.993,14.402,0.08654944051153231,0.375
scratch,1,0.85,0.023153252480705624,0.9463333333333334,17.375666666666667,0.2255704017095862,0.32
mae,1,0.85,0.014149209849320103,0.9396666666666667,17.700333333333333,0.179110613708517,0.6486666666666666
supMAE,1,0.85,0.0213156927600147,0.9966666666666667,15.599666666666666,0.1461505621175466,0.493
supLP120,1,0.85,0.02113193678794561,0.8963333333333333,17.333666666666666,0.1333959266214069,0.45366666666666666
supcon,1,0.85,0.02462330025725836,0.997,14.629,0.11350259807422365,0.3466666666666667
scratch,1,0.9,0.01966188901139287,0.9296666666666666,18.129,0.2710951893551689,0.24633333333333332
mae,1,0.9,0.010474090407938258,0.9383333333333334,18.334666666666667,0.2492269505037969,0.5116666666666667
supMAE,1,0.9,0.019294377067254686,0.9983333333333333,16.076,0.1857336956521739,0.452
supLP120,1,0.9,0.016905549430356485,0.9236666666666666,17.315,0.16823877560456837,0.459
supcon,1,0.9,0.020764424843807423,0.9986666666666667,14.796666666666667,0.14199503864135102,0.274
scratch,1,0.93,0.016905549430356485,0.9143333333333333,18.846333333333334,0.3138721585389547,0.201
mae,1,0.93,0.008269018743109152,0.92,19.306,0.3068282067870376,0.43433333333333335
supMAE,1,0.93,0.017640573318632856,0.9956666666666667,16.55666666666667,0.22333773286885777,0.38366666666666666
supLP120,1,0.93,0.014884233737596472,0.937,17.453,0.19855973959378415,0.42733333333333334
supcon,1,0.93,0.018191841234840134,0.998,15.184333333333333,0.16942301473645308,0.251
scratch,1,0.95,0.015435501653803748,0.899,19.499666666666666,0.3558738618698645,0.18033333333333335
mae,1,0.95,0.007166482910694598,0.876,20.287,0.3558275361779696,0.37766666666666665
supMAE,1,0.95,0.01470047776552738,0.991,17.391666666666666,0.27084012385919165,0.343
supLP120,1,0.95,0.012495406100698273,0.9446666666666667,17.612333333333332,0.22272766658001905,0.4236666666666667
supcon,1,0.95,0.014884233737596472,0.996,15.479333333333333,0.18829246242513278,0.24366666666666667
scratch,1,0.97,0.01396545387725101,0.8363333333333334,20.362333333333332,0.4249234622877818,0.151
mae,1,0.97,0.005145167217934583,0.7953333333333333,21.27,0.43568249129674214,0.29033333333333333
supMAE,1,0.97,0.011760382212421904,0.974,18.488666666666667,0.33397992429235956,0.263
supLP120,1,0.97,0.009187798603454611,0.9433333333333334,18.254666666666665,0.27225248383213985,0.38966666666666666
supcon,1,0.97,0.011944138184490995,0.984,16.162,0.2348587243354573,0.20833333333333334
scratch,1,0.99,0.008820286659316428,0.6393333333333333,19.322666666666667,0.5320887833330423,0.07833333333333334
mae,1,0.99,0.0031238515251745683,0.5376666666666666,20.626333333333335,0.5636753353316476,0.158
supMAE,1,0.99,0.006431459022418228,0.8286666666666667,20.288666666666668,0.4626855589144276,0.18366666666666667
supLP120,1,0.99,0.004410143329658214,0.8763333333333333,20.128,0.4007046367933715,0.369
supcon,1,0.99,0.007717750826901874,0.8583333333333333,17.933,0.3771135091465174,0.20133333333333334
scratch,3,0.0,0.025440705128205128,0.9906666666666667,14.754666666666667,0.0,0.856
mae,3,0.0,0.030248397435897436,0.9726666666666667,13.875666666666667,0.0,0.443
supMAE,3,0.0,0.019230769230769232,0.986,13.255,0.0,0.325
supLP120,3,0.0,0.017427884615384616,0.954,13.619,0.0,0.22633333333333333
supcon,3,0.0,0.016025641025641024,0.959,13.783666666666667,0.0,0.31233333333333335
scratch,3,0.3,0.025240384615384616,0.9903333333333333,14.776,0.0008880994671403197,0.8573333333333333
mae,3,0.3,0.029847756410256412,0.9726666666666667,13.875666666666667,0.0,0.443
supMAE,3,0.3,0.019230769230769232,0.986,13.255,0.0,0.325
supLP120,3,0.3,0.017427884615384616,0.954,13.619,0.0,0.22633333333333333
supcon,3,0.3,0.015625,0.9596666666666667,13.751666666666667,0.0008326394671107411,0.31166666666666665
scratch,3,0.5,0.02283653846153846,0.9923333333333333,14.692666666666666,0.012697803252612237,0.795
mae,3,0.5,0.024839743589743588,0.9866666666666667,13.631,0.009519617014251911,0.41633333333333333
supMAE,3,0.5,0.016426282051282052,0.9893333333333333,13.179666666666666,0.002355549397256478,0.31266666666666665
supLP120,3,0.5,0.013822115384615384,0.9603333333333334,13.495,0.006704742984852247,0.20466666666666666
supcon,3,0.5,0.014423076923076924,0.9676666666666667,13.536666666666667,0.008209818722794644,0.2613333333333333
scratch,3,0.6,0.019230769230769232,0.9973333333333333,14.599,0.04539669070852779,0.6583333333333333
mae,3,0.6,0.019631410256410256,0.99,13.679,0.0407673860911271,0.323
