method,k,budget,tau_star,task_success,mean_cost,false_activation
scratch,1,0.01,0.99,0.6393,19.323,0.00882
mae,1,0.01,0.93,0.92,19.306,0.00827
supMAE,1,0.01,0.99,0.8287,20.289,0.00643
supLP120,1,0.01,0.97,0.9433,18.255,0.00919
supcon,1,0.01,0.99,0.8583,17.933,0.00772
scratch,3,0.01,0.85,0.9953,15.22,0.00881
mae,3,0.01,0.85,0.987,15.126,0.00901
supMAE,3,0.01,0.7,0.9967,13.158,0.00861
supLP120,3,0.01,0.7,0.9677,13.483,0.00641
supcon,3,0.01,0.7,0.986,13.335,0.00741
scratch,1,0.005,,,,
mae,1,0.005,0.99,0.5377,20.626,0.00312
supMAE,1,0.005,,,,
supLP120,1,0.005,0.99,0.8763,20.128,0.00441
supcon,1,0.005,,,,
scratch,3,0.005,0.97,0.893,18.974,0.00361
mae,3,0.005,0.95,0.8253,17.501,0.00441
supMAE,3,0.005,0.93,0.9997,15.078,0.00441
supLP120,3,0.005,0.8,0.967,13.67,0.00421
supcon,3,0.005,0.9,0.9937,13.866,0.00381
