k,tau,a,b,median_delta,iqr_lo,iqr_hi,frac_a_ge_b
1,0.0,scratch,mae,0.0635,0.0168,0.112,0.8083
1,0.0,scratch,supMAE,0.004,-0.0655,0.0385,0.5333
1,0.0,scratch,supLP120,0.0525,-0.0283,0.1298,0.65
1,0.0,scratch,supcon,-0.004,-0.0492,0.0492,0.4667
1,0.0,mae,scratch,-0.0635,-0.112,-0.0168,0.1917
1,0.0,mae,supMAE,-0.0675,-0.104,-0.0228,0.15
1,0.0,mae,supLP120,-0.0275,-0.0852,0.0637,0.4083
1,0.0,mae,supcon,-0.068,-0.114,-0.0227,0.1333
1,0.0,supMAE,scratch,-0.004,-0.0385,0.0655,0.475
1,0.0,supMAE,mae,0.0675,0.0228,0.104,0.8583
1,0.0,supMAE,supLP120,0.057,-0.0323,0.1287,0.6417
1,0.0,supMAE,supcon,-0.0035,-0.0628,0.0575,0.4833
1,0.0,supLP120,scratch,-0.0525,-0.1298,0.0283,0.35
1,0.0,supLP120,mae,0.0275,-0.0637,0.0852,0.5917
1,0.0,supLP120,supMAE,-0.057,-0.1287,0.0323,0.3667
1,0.0,supLP120,supcon,-0.0465,-0.0978,0.0043,0.2667
1,0.0,supcon,scratch,0.004,-0.0492,0.0492,0.55
1,0.0,supcon,mae,0.068,0.0227,0.114,0.8667
1,0.0,supcon,supMAE,0.0035,-0.0575,0.0628,0.5167
1,0.0,supcon,supLP120,0.0465,-0.0043,0.0978,0.7417
1,0.9,scratch,mae,0.065,-0.0013,0.121,0.7417
1,0.9,scratch,supMAE,-0.0075,-0.0733,0.0575,0.4583
1,0.9,scratch,supLP120,0.0085,-0.0425,0.0793,0.5583
1,0.9,scratch,supcon,-0.0285,-0.0805,0.0232,0.3583
1,0.9,mae,scratch,-0.065,-0.121,0.0013,0.2583
1,0.9,mae,supMAE,-0.0665,-0.1142,-0.0058,0.225
1,0.9,mae,supLP120,-0.046,-0.1247,0.0183,0.3417
1,0.9,mae,supcon,-0.0805,-0.1535,-0.019,0.1667
1,0.9,supMAE,scratch,0.0075,-0.0575,0.0733,0.55
1,0.9,supMAE,mae,0.0665,0.0058,0.1142,0.7833
1,0.9,supMAE,supLP120,0.0035,-0.0548,0.0853,0.5083
1,0.9,supMAE,supcon,-0.0225,-0.0933,0.0287,0.3417
1,0.9,supLP120,scratch,-0.0085,-0.0793,0.0425,0.45
1,0.9,supLP120,mae,0.046,-0.0183,0.1247,0.6667
1,0.9,supLP120,supMAE,-0.0035,-0.0853,0.0548,0.4917
1,0.9,supLP120,supcon,-0.035,-0.0763,0.0178,0.325
1,0.9,supcon,scratch,0.0285,-0.0232,0.0805,0.6417
1,0.9,supcon,mae,0.0805,0.019,0.1535,0.8333
1,0.9,supcon,supMAE,0.0225,-0.0287,0.0933,0.6583
1,0.9,supcon,supLP120,0.035,-0.0178,0.0763,0.675
3,0.0,scratch,mae,0.023,-0.0223,0.08,0.6333
3,0.0,scratch,supMAE,-0.048,-0.1012,-0.0095,0.2
3,0.0,scratch,supLP120,-0.0555,-0.1412,0.0155,0.2917
3,0.0,scratch,supcon,-0.0345,-0.102,0.0118,0.3167
3,0.0,mae,scratch,-0.023,-0.08,0.0223,0.375
3,0.0,mae,supMAE,-0.0685,-0.117,-0.0305,0.075
3,0.0,mae,supLP120,-0.086,-0.1347,-0.0275,0.15
3,0.0,mae,supcon,-0.064,-0.117,-0.025,0.1667
3,0.0,supMAE,scratch,0.048,0.0095,0.1012,0.8
3,0.0,supMAE,mae,0.0685,0.0305,0.117,0.9417
3,0.0,supMAE,supLP120,0.003,-0.06,0.059,0.5083
3,0.0,supMAE,supcon,0.004,-0.0225,0.042,0.5583
3,0.0,supLP120,scratch,0.0555,-0.0155,0.1412,0.7083
3,0.0,supLP120,mae,0.086,0.0275,0.1347,0.85
3,0.0,supLP120,supMAE,-0.003,-0.059,0.06,0.4917
3,0.0,supLP120,supcon,0.0145,-0.034,0.0492,0.575
3,0.0,supcon,scratch,0.0345,-0.0118,0.102,0.6917
3,0.0,supcon,mae,0.064,0.025,0.117,0.8333
3,0.0,supcon,supMAE,-0.004,-0.042,0.0225,0.4667
3,0.0,supcon,supLP120,-0.0145,-0.0492,0.034,0.425
3,0.9,scratch,mae,0.0355,-0.012,0.0738,0.6917
3,0.9,scratch,supMAE,-0.0255,-0.0632,0.01,0.3417
3,0.9,scratch,supLP120,-0.0675,-0.1102,-0.0098,0.225
3,0.9,scratch,supcon,-0.074,-0.1162,-0.0218,0.2
3,0.9,mae,scratch,-0.0355,-0.0738,0.012,0.3167
3,0.9,mae,supMAE,-0.0655,-0.1025,-0.0265,0.1583
3,0.9,mae,supLP120,-0.0865,-0.1305,-0.0408,0.0417
3,0.9,mae,supcon,-0.1035,-0.1435,-0.0505,0.05
3,0.9,supMAE,scratch,0.0255,-0.01,0.0632,0.6583
3,0.9,supMAE,mae,0.0655,0.0265,0.1025,0.85
3,0.9,supMAE,supLP120,-0.032,-0.0808,0.0115,0.325
3,0.9,supMAE,supcon,-0.0375,-0.0898,0.002,0.2583
3,0.9,supLP120,scratch,0.0675,0.0098,0.1102,0.775
3,0.9,supLP120,mae,0.0865,0.0408,0.1305,0.9583
3,0.9,supLP120,supMAE,0.032,-0.0115,0.0808,0.675
3,0.9,supLP120,supcon,-0.009,-0.032,0.0115,0.3833
3,0.9,supcon,scratch,0.074,0.0218,0.1162,0.8
3,0.9,supcon,mae,0.1035,0.0505,0.1435,0.9583
3,0.9,supcon,supMAE,0.0375,-0.002,0.0898,0.7417
3,0.9,supcon,supLP120,0.009,-0.0115,0.032,0.6333
