vocab,method,k,tau,hard_success,mean_cost,rejection_rate,corrective_per_mission
0,scratch,1,0.0,0.363,32.956,0.0,0.912
0,mae,1,0.0,0.278,37.114,0.0,0.998
0,supMAE,1,0.0,0.335,33.262,0.0,0.634
0,supLP120,1,0.0,0.389,32.427,0.0,0.929
0,supcon,1,0.0,0.39,31.478,0.0,0.706
0,scratch,1,0.9,0.624,25.963,0.26312222769837357,0.297
0,mae,1,0.9,0.415,33.994,0.32838970965717873,0.441
0,supMAE,1,0.9,0.442,30.945,0.2235767085981066,0.241
0,supLP120,1,0.9,0.586,26.533,0.23397046602314134,0.31
0,supcon,1,0.9,0.599,26.404,0.24047181178261146,0.305
0,scratch,3,0.0,0.548,24.472,0.0,0.424
0,mae,3,0.0,0.468,26.988,0.0,0.336
0,supMAE,3,0.0,0.581,22.394,0.0,0.178
0,supLP120,3,0.0,0.668,20.259,0.0,0.193
0,supcon,3,0.0,0.565,22.909,0.0,0.123
0,scratch,3,0.9,0.75,21.304,0.240532111259627,0.171
0,mae,3,0.9,0.706,22.834,0.3646725230735016,0.176
0,supMAE,3,0.9,0.748,20.849,0.218001435937602,0.056
0,supLP120,3,0.9,0.881,16.849,0.15449675782351283,0.067
0,supcon,3,0.9,0.849,17.869,0.18055080981343538,0.032
1,scratch,1,0.0,0.378,33.368,0.0,1.536
1,mae,1,0.0,0.33,36.198,0.0,1.426
1,supMAE,1,0.0,0.496,28.49,0.0,1.23
1,supLP120,1,0.0,0.429,31.156,0.0,1.492
1,supcon,1,0.0,0.424,31.157,0.0,1.259
1,scratch,1,0.9,0.666,25.765,0.3653146698997024,0.693
1,mae,1,0.9,0.494,30.916,0.36251664447403464,0.664
1,supMAE,1,0.9,0.693,24.437,0.31610095735422106,0.434
1,supLP120,1,0.9,0.737,23.49,0.2528044118568653,0.711
1,supcon,1,0.9,0.695,24.733,0.2478584026203074,0.759
1,scratch,3,0.0,0.584,24.772,0.0,0.804
1,mae,3,0.0,0.718,20.464,0.0,0.688
1,supMAE,3,0.0,0.775,18.89,0.0,0.55
1,supLP120,3,0.0,0.73,20.076,0.0,0.612
1,supcon,3,0.0,0.787,18.633,0.0,0.611
1,scratch,3,0.9,0.771,22.46,0.3442264573991031,0.36
1,mae,3,0.9,0.838,20.467,0.35533448834739845,0.198
1,supMAE,3,0.9,0.897,19.015,0.2961961420587705,0.318
1,supLP120,3,0.9,0.928,17.101,0.20721376571806752,0.197
1,supcon,3,0.9,0.937,16.9,0.1992644600468071,0.235
2,scratch,1,0.0,0.366,35.572,0.0,1.544
2,mae,1,0.0,0.367,35.291,0.0,1.537
2,supMAE,1,0.0,0.407,32.911,0.0,1.417
2,supLP120,1,0.0,0.307,35.798,0.0,1.466
2,supcon,1,0.0,0.327,35.527,0.0,1.229
2,scratch,1,0.9,0.638,27.678,0.37708208995713743,0.889
2,mae,1,0.9,0.627,28.017,0.4037179754217871,0.691
2,supMAE,1,0.9,0.676,26.118,0.32367923988323505,0.709
2,supLP120,1,0.9,0.529,29.984,0.2960824742268041,0.583
2,supcon,1,0.9,0.679,25.786,0.2889127709116962,0.659
2,scratch,3,0.0,0.522,26.838,0.0,1.026
2,mae,3,0.0,0.507,26.804,0.0,1.048
2,supMAE,3,0.0,0.643,22.728,0.0,0.896
2,supLP120,3,0.0,0.607,23.518,0.0,0.766
2,supcon,3,0.0,0.624,23.555,0.0,0.965
2,scratch,3,0.9,0.81,22.851,0.3612857377138796,0.506
2,mae,3,0.9,0.791,22.996,0.39470122839891736,0.288
2,supMAE,3,0.9,0.941,19.29,0.2897335236735665,0.506
2,supLP120,3,0.9,0.816,19.977,0.26114452228904456,0.156
2,supcon,3,0.9,0.874,19.17,0.24006087121932662,0.293
3,scratch,1,0.0,0.389,31.195,0.0,0.885
3,mae,1,0.0,0.255,38.226,0.0,1.202
3,supMAE,1,0.0,0.319,34.768,0.0,1.016
