epoch,lambda_ce,avg_total,avg_mae,avg_ce,best_total
1,0.000000,0.07876014,0.07876014,4.96804645,0.07876014
2,0.000000,0.04488457,0.04488457,4.94263086,0.04488457
3,0.000000,0.03454201,0.03454201,4.94869517,0.03454201
4,0.000000,0.02608475,0.02608475,4.95087529,0.02608475
5,0.142857,0.02603783,0.02310081,3.38089158,0.02603783
6,0.285714,0.02715650,0.02143308,2.42404400,0.02603783
7,0.428571,0.02943806,0.02097531,1.93606637,0.02603783
8,0.571429,0.03178393,0.02055911,1.60646390,0.02603783
9,0.714286,0.03461291,0.02052194,1.37253682,0.02603783
10,0.857143,0.03745144,0.02050482,1.20540517,0.02603783
11,1.000000,0.03995282,0.02035473,1.04414749,0.02603783
12,1.000000,0.03939368,0.02010471,0.88897560,0.02603783
13,1.000000,0.03933666,0.02001400,0.76928591,0.02603783
14,1.000000,0.03884238,0.01981990,0.65947932,0.02603783
15,1.000000,0.03850806,0.01961582,0.57147968,0.02603783
16,1.000000,0.03804592,0.01936300,0.49474294,0.02603783
17,1.000000,0.03794858,0.01929380,0.42761348,0.02603783
18,1.000000,0.03709352,0.01909525,0.36139955,0.02603783
19,1.000000,0.03813946,0.01925854,0.33888204,0.02603783
20,1.000000,0.03743503,0.01904526,0.28802262,0.02603783
21,1.000000,0.03757230,0.01906336,0.26324613,0.02603783
22,1.000000,0.03736333,0.01903995,0.23005479,0.02603783
23,1.000000,0.03724791,0.01889958,0.21116127,0.02603783
24,1.000000,0.03718804,0.01898668,0.18256207,0.02603783
25,1.000000,0.03774839,0.01892460,0.17478686,0.02603783
26,1.000000,0.03709692,0.01881841,0.15594028,0.02603783
27,1.000000,0.03701586,0.01883355,0.14029343,0.02603783
28,1.000000,0.03711557,0.01877021,0.13373631,0.02603783
29,1.000000,0.03709486,0.01875987,0.12340036,0.02603783
30,1.000000,0.03690560,0.01875970,0.11139519,0.02603783
31,1.000000,0.03695093,0.01866097,0.10507808,0.02603783
32,1.000000,0.03732547,0.01868256,0.10132268,0.02603783
33,1.000000,0.03669068,0.01858567,0.09515283,0.02603783
34,1.000000,0.03735319,0.01859430,0.08900200,0.02603783
35,1.000000,0.03640419,0.01847662,0.08181292,0.02603783
36,1.000000,0.03657700,0.01857898,0.07998408,0.02603783
37,1.000000,0.03669412,0.01851288,0.07601830,0.02603783
38,1.000000,0.03692763,0.01848874,0.07321433,0.02603783
39,1.000000,0.03644368,0.01842480,0.06763520,0.02603783
40,1.000000,0.03651113,0.01847894,0.06532020,0.02603783
41,1.000000,0.03608359,0.01835157,0.06163403,0.02603783
42,1.000000,0.03654607,0.01834996,0.06035657,0.02603783
43,1.000000,0.03692052,0.01839946,0.06044475,0.02603783
44,1.000000,0.03669328,0.01830799,0.05597509,0.02603783
45,1.000000,0.03644813,0.01825495,0.05497174,0.02603783
46,1.000000,0.03572150,0.01820320,0.05043406,0.02603783
47,1.000000,0.03657644,0.01818480,0.05244089,0.02603783
48,1.000000,0.03654150,0.01819251,0.04914805,0.02603783
49,1.000000,0.03620221,0.01817863,0.04870097,0.02603783
50,1.000000,0.03528206,0.01815451,0.04507610,0.02603783
