test_subject,k,n_train,eval_samples,acc,macro_f1
s1,0,754,107,84.112,0.8297
s2,0,753,108,68.519,0.6493
s3,0,753,108,54.63,0.4927
s4,0,753,108,61.111,0.5804
s5,0,753,108,77.778,0.7471
s6,0,754,107,77.57,0.7458
s7,0,753,108,62.963,0.6068
s8,0,754,107,69.159,0.6708
s1,1,781,80,98.75,0.9873
s2,1,780,81,98.765,0.9873
s3,1,780,81,88.889,0.8834
s4,1,780,81,87.654,0.8585
s5,1,780,81,92.593,0.9205
s6,1,781,80,91.25,0.9159
s7,1,780,81,92.593,0.9236
s8,1,781,80,87.5,0.8773
s1,3,835,26,100.0,0.963
s2,3,834,27,100.0,1.0
s3,3,834,27,92.593,0.9136
s4,3,834,27,88.889,0.8519
s5,3,834,27,96.296,0.9506
s6,3,835,26,96.154,0.9136
s7,3,834,27,100.0,1.0
s8,3,835,26,88.462,0.821
