test_subject,method,k,calibration_mode,calib_samples,eval_samples,final_acc,final_macro_f1,best_diag_acc,best_diag_macro_f1,best_diag_epoch,base_ckpt,pretrained_ckpt,calibration_ckpt
s1,scratch,0,none,0,107,84.112150,0.815766,84.112150,0.815766,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/UTD-skeleton-LOSO-seed42/models/s1_scratch_baseFull_bestVal.pth,,
s1,scratch,1,head_only,27,80,91.250000,0.892945,92.500000,0.916667,8,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/UTD-skeleton-LOSO-seed42/models/s1_scratch_baseFull_bestVal.pth,,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/UTD-skeleton-LOSO-seed42/models/s1_scratch_k1_head_only_last.pth
s1,scratch,3,head_only,81,26,100.000000,1.000000,100.000000,1.000000,21,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/UTD-skeleton-LOSO-seed42/models/s1_scratch_baseFull_bestVal.pth,,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/UTD-skeleton-LOSO-seed42/models/s1_scratch_k3_head_only_last.pth
s1,supLP120,0,none,0,107,83.177570,0.805329,83.177570,0.805329,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/UTD-skeleton-LOSO-seed42/models/s1_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,
s1,supLP120,1,head_only,27,80,97.500000,0.970899,98.750000,0.987302,16,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/UTD-skeleton-LOSO-seed42/models/s1_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/UTD-skeleton-LOSO-seed42/models/s1_supLP120_k1_head_only_last.pth
s1,supLP120,3,head_only,81,26,100.000000,1.000000,100.000000,1.000000,3,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/UTD-skeleton-LOSO-seed42/models/s1_supLP120_baseFull_bestVal.pth,trained_models/SUPERVISED/sup_lr_ntu120_epoch_50.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/UTD-skeleton-LOSO-seed42/models/s1_supLP120_k3_head_only_last.pth
s1,supMAE,0,none,0,107,87.850467,0.865344,87.850467,0.865344,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/UTD-skeleton-LOSO-seed42/models/s1_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,
s1,supMAE,1,head_only,27,80,95.000000,0.945503,95.000000,0.945503,30,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/UTD-skeleton-LOSO-seed42/models/s1_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/UTD-skeleton-LOSO-seed42/models/s1_supMAE_k1_head_only_last.pth
s1,supMAE,3,head_only,81,26,96.153846,0.948718,100.000000,1.000000,18,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/UTD-skeleton-LOSO-seed42/models/s1_supMAE_baseFull_bestVal.pth,trained_models/SUPMAE/supmae_best.pth,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/UTD-skeleton-LOSO-seed42/models/s1_supMAE_k3_head_only_last.pth
s1,mae,0,none,0,107,85.046729,0.822245,85.046729,0.822245,0,/home/ptimilsina/projects/DA_GestureRecognition-clean/trained_models/UTD-skeleton-LOSO-seed42/models/s1_mae_baseFull_bestVal.pth,trained_models/MAE/mae_geoLoss_epoch_50.pth,
